first_name,last_name,dob,year_of_birth,gender,zip,email,phone,address
adriana,conradi,19791018,1979,F,48147,mbohnbach@web.de,04337808105,sontagstrasse 801
arnfried,roht,19780628,1978,M,97707,roserecep@yahoo.de,02787441266,marit-neureuther-strasse 4
nikola,thies,19910816,1991,M,31637,lbolzmann@gmx.de,0353862934,reinhardtplatz 68
andreas,scholz,19730619,1973,M,92814,iholt@web.de,0669481643,birnbaumring 33
abdullah,briemernaser,19511021,1951,M,57129,van-der-dussenvolkmar@web.de,05449594938,antoinette-taesche-weg 65
august,werner,19790126,1979,M,9593,john79@gmail.com,07728991283,junkenplatz 20
thorsten,beyer,19970704,1997,M,99828,clemensschwital@aol.de,04097595466,kaspar-anders-ring 2
songuel,harloff,19840915,1984,F,78759,fradisch@yahoo.de,08692177188,henckweg 75
nurettin,preissklapp,19891011,1989,M,91004,henrike34@aol.de,0554969266,schenkstrasse 6
siegmar,gude,19460524,1946,M,11136,ernestine83@googlemail.com,06348588714,friedhold-finke-strasse 3
vincenzo,jacobijaeckel,19800418,1980,M,35960,friedrich-wilhelm63@gmail.com,0533800573,loechelstrasse 6
pius,schaaf,20061104,2006,M,23186,nadingertz@hotmail.de,02480580480,nergergasse 3
annaliese,hornig,19881004,1988,F,94119,bbaehr@gmail.com,0958906782,bozena-plath-ring 28
juliana,eberth,19470728,1947,F,89649,jthies@gmail.com,00958531831,cetin-caspar-gasse 9
ljudmila,wohlgemut,19860708,1986,F,91865,antoschoenland@gmx.de,06538299362,soelzerplatz 9
gerhard,roskoth,19901215,1990,M,58664,ystiebitz@web.de,08099543516,loosring 7
olaf,schlossergeisler,19931007,1993,M,26744,schomberjulie@yahoo.de,01287700436,schoenlandstrasse 33
hansgerhard,hornichgirschner,19660201,1966,M,49645,butteliane@gmail.com,03150346858,hertrampfallee 125
rudi,karz,19881022,1988,M,91855,obaum@gmail.com,00000983916,jens-huhn-allee 51
stefano,karz,19851022,1985,M,62173,sauerortrun@aol.de,00314039668,friedericke-fechner-allee 25
antonia,drub,20030425,2003,F,75751,heidi94@googlemail.com,02146478994,britt-sager-weg 7
josip,wulf,19760622,1976,M,60314,renata87@aol.de,04869247181,meyergasse 89
mustafa,holzapfel,20060720,2006,M,9643,carstensiegrun@yahoo.de,0233231044,burkhard-roskoth-weg 7
edit,geisler,20011120,2001,F,42292,rigo66@gmail.com,0487463661,jaentschweg 330
nicolaus,barkholz,19950107,1995,M,58803,edoerschner@gmail.com,0390255203,gerlind-taesche-platz 64
hansadolf,bolzmann,19660113,1966,M,18597,dschacht@googlemail.com,04867983183,schinkeallee 5
sahin,langernkoehler,19840415,1984,U,73700,mia50@gmx.de,01951345863,weissstrasse 6
sophie,matthaei,20041113,2004,F,15598,nathaliethies@aol.de,0014978576,fernando-langern-strasse 5
heini,gorlitz,19861223,1986,F,96369,heinz-peter16@hotmail.de,04077920617,gertraut-hertrampf-platz 4
zita,reuter,19600226,1960,F,675,eckhardbecker@aol.de,0527274585,eberhardtstrasse 1
ina,hettner,19841004,1984,F,47438,margarethe80@web.de,06807588812,etzoldgasse 91
jessica,weitzel,19620914,1962,F,56048,nikolaussteinberg@hotmail.de,0180826346,timo-scholtz-platz 21
berta,steuer,19590604,1959,F,95119,hans-georg24@gmx.de,0756460544,krista-benthin-allee 9
alberto,hethur,19740425,1974,M,86770,ekkehartsoeding@yahoo.de,01158494718,nurten-hesse-platz 68
albin,mitschke,19490721,1949,M,31707,baehrurs@web.de,0765392359,ladislaus-trub-ring 56
annelore,flantz,20030726,2003,F,1360,winklerswantje@yahoo.de,05526891415,chantal-jockel-ring 633
ulrich,koester,19820913,1982,M,60378,petros18@yahoo.de,00396361101,hans-j.-raedel-strasse 3
hanserich,heinz,19600909,1960,M,59016,hedi49@hotmail.de,0464914728,annamaria-zorbach-ring 65
reinhard,huebel,19810921,1981,M,68123,vittorio16@yahoo.de,0205076427,ljubica-fechner-weg 73
janin,tintzmann,19910806,1991,F,7899,silviakaester@hotmail.de,05046049482,alexei-dippel-weg 44
franzpeter,roemer,19990216,1999,M,41000,irose@gmail.com,02641444308,daniele-stahr-gasse 16
charlotte,scheibe,19790330,1979,F,54174,ysteuer@aol.de,0163624587,saskia-dussen van-strasse 55
heide,vanderdussen,19780328,1978,F,48426,belasteckel@gmail.com,08479786268,ahmet-wiek-strasse 5
boris,zorbach,19800201,1980,M,30697,gert02@gmail.com,09870102528,tatiana-oderwald-ring 3
kilian,schoenland,19560206,1956,M,95790,gabi88@aol.de,0953987959,muelichenallee 363
laurenz,jopich,19710823,1971,M,89974,eroskoth@aol.de,07070195116,juettnerallee 96
irmi,trapp,19791126,1979,F,64194,jacobi-jaeckelgerolf@hotmail.de,0885379860,engin-scholz-allee 229
reginald,kramer,19580913,1958,M,85005,eetzold@gmail.com,07499485773,hermann josef-mude-platz 506
frederik,conradi,20001022,2000,M,58128,gusti94@web.de,00794517142,sebastiano-doerschner-gasse 141
henning,ernst,19550107,1955,M,87439,anneliesestiffel@gmx.de,0105986909,soedingstrasse 34
rolfpeter,martinzahn,19650326,1965,M,95308,diethardklemm@gmx.de,09267437697,lindnergasse 1
hassan,junk,19870809,1987,M,27830,wulfroy@gmail.com,0357784360,raik-karz-platz 79
marieluise,eigenwillig,20060321,2006,F,15976,reinhardtfriedrich@gmx.de,03807256648,bruni-schomber-allee 75
ignaz,netteanders,19520106,1952,M,28858,kay-uwe91@yahoo.de,0973296758,ferenc-staude-gasse 67
ekkehart,tintzmann,19770324,1977,M,71146,xklingelhoefer@yahoo.de,04293022286,schweitzerstrasse 198
nelly,weiss,19500324,1950,F,19800,nataljareinhardt@yahoo.de,0686462649,muellerweg 1
hiltrud,gertzmargraf,19970222,1997,F,69053,hartungdanica@web.de,08580716472,baererweg 6
boris,freudenbergerklapp,20000808,2000,M,38272,ahoefig@hotmail.de,04408903982,stiebitzallee 170
walburga,knappe,19570929,1957,F,35412,mbecker@aol.de,00723244055,sibylla-groettner-allee 955
sieglinde,dobes,19520127,1952,F,15794,walfried26@aol.de,09223640898,gunpfplatz 95
horstguenter,freudenberger,19910315,1991,M,91584,nikolaoszorbach@googlemail.com,00610977684,langernring 18
cetin,barth,19950530,1995,U,7820,scheuermannnicolas@hotmail.de,05357802342,anni-auch schlauchin-ring 27
galina,kaester,19760308,1976,F,58907,hofmannelsbeth@hotmail.de,0572831502,buttestrasse 5
aribert,heidrich,19540701,1954,M,2513,prohleder@gmx.de,02264502927,alfonso-wirth-platz 477
tania,geissler,19920627,1992,F,52119,ibrahimpatberg@googlemail.com,03527962096,andrej-beckmann-platz 26
benedikt,ackermann,19811023,1981,M,51888,erich79@yahoo.de,02252553626,friedrich-kohl-platz 1
stefani,foerster,19570531,1957,F,44659,oheinrich@yahoo.de,05291670635,hermannallee 93
vassilios,mosemann,19861103,1986,M,52518,lisbethwilms@gmx.de,04387795647,ruth-kranz-ring 54
annerose,ritter,19981225,1998,F,43529,deborahriehl@gmx.de,0832346108,yilmaz-boucsein-platz 68
almut,dobes,19660617,1966,F,98101,dimitribriemer@gmail.com,0373003214,eveline-trub-platz 25
annerose,weitzelhiller,19910722,1991,F,90741,charlotteboerner@gmx.de,06026067690,eugenia-ortmann-allee 38
rosemarie,wiek,19920208,1992,F,45332,patbergann-kathrin@gmx.de,00107418671,lindnerallee 27
saskia,hein,19831123,1983,F,91809,roestrovsky@web.de,0973425313,schleichplatz 6
magarete,rogge,19940725,1994,F,90737,marijanwarmer@yahoo.de,0348138056,paffrathstrasse 82
victor,hamann,20070315,2007,M,41071,rognerkorbinian@hotmail.de,05106303635,stumpfweg 18
solveig,auchschlauchin,19600219,1960,F,30970,hannaboerner@googlemail.com,09710664489,jane-schlosser-weg 71
vitus,hoerle,19910423,1991,M,9410,gerlindcichorius@aol.de,09424476696,budigallee 18
manja,muehlewulff,19610405,1961,F,92327,erdogan78@gmail.com,01391883008,magdalena-wernecke-weg 81
kirstin,luebs,19790122,1979,F,45422,franz-josef13@yahoo.de,0719897882,stadelmannstrasse 311
dora,weinhold,19850308,1985,F,10999,jschlosser@yahoo.de,07381366710,wulfplatz 66
yasemin,metz,19801204,1980,F,97694,dobesgeorg@yahoo.de,0666451163,trappgasse 57
fridolin,gertz,19700602,1970,M,31255,johaneigenwillig@gmail.com,08191199547,koesterweg 20
eckehard,wohlgemut,19790610,1979,M,58693,randolf78@aol.de,0141179789,wielochgasse 86
jenny,eberhardt,19600728,1960,F,90633,lroerricht@googlemail.com,06488487657,geisslerstrasse 80
saskia,scheuermann,19570328,1957,F,2478,rosmarievogt@gmx.de,0385791648,grafstrasse 29
valerij,ditschlerin,19930515,1993,M,75934,ullmannhans-joachim@hotmail.de,0881256467,buttegasse 443
heimo,sager,19660815,1966,M,68673,stolzealexandre@googlemail.com,05148547975,vlado-schenk-strasse 41
sieglinde,karge,19690817,1969,F,62091,ahecker@hotmail.de,00906204222,betina-junck-ring 252
guelten,stiffel,19760526,1976,F,33966,meta92@web.de,09816734634,anna-maria-stoll-weg 38
heiderose,neuschaefer,20010224,2001,F,78705,annegretweinhold@web.de,03713657026,franka-weitzel-platz 15
siegbert,schmiedecke,19520514,1952,M,47433,tatjana24@aol.de,0066216298,etzoldallee 1
gilda,hermighausen,19511117,1951,F,68126,tintzmannhenriette@googlemail.com,0764803760,adrian-schueler-gasse 25
goran,stiffelhornich,19950315,1995,M,63373,eliserose@hotmail.de,02970875274,friedrich-karl-buchholz-strasse 22
ante,geisler,19590219,1959,M,59447,dpatberg@yahoo.de,09381378050,hethurweg 9
emilie,soelzer,20000303,2000,F,14302,kbolander@gmx.de,0811002820,rafael-steckel-platz 6
hanshelmut,niemeier,20060102,2006,M,66868,klapphans-helmut@googlemail.com,07969692169,paul-boucsein-platz 15
nermin,stumpf,19920303,1992,U,47647,arno77@web.de,0430077943,reuterweg 45
tina,schweitzer,19510326,1951,F,28255,hessgiovanna@aol.de,00330557549,schaafplatz 65
thoralf,schottinzahn,19960713,1996,M,47678,reneroerricht@yahoo.de,0623530951,pruschkeweg 1158
meinolf,rudolphneureuther,19960414,1996,M,77180,dietlindputz@aol.de,0649777676,aumannstrasse 430
insa,neuschaefer,19681112,1968,F,82499,froehlichtheodora@googlemail.com,0171943479,pohlring 6
klausd,ernst,19520902,1952,M,10125,rosiholt@yahoo.de,0259561189,hilmar-nerger-platz 23
hansdetlef,lange,19870115,1987,M,17978,friedhelmbloch@yahoo.de,00310866128,hanna-bolander-ring 2
leyla,schmidt,19970523,1997,F,41783,werajacob@gmx.de,01822830184,gundi-buchholz-strasse 7
harri,schmiedtullmann,19780125,1978,M,69968,kemalziegert@gmail.com,05479184964,tom-gunpf-strasse 43
wolfdieter,knappe,19870224,1987,M,44063,henckoswin@hotmail.de,05452981538,barkholzallee 47
roman,barkholz,19900905,1990,M,60668,roemerwalter@hotmail.de,0534667118,hardy-doehn-allee 6
rosmarie,kreusel,19791010,1979,F,47609,carmelo92@aol.de,04507520555,rita-budig-platz 28
kathi,mielcarek,19580623,1958,F,67314,xcarsten@hotmail.de,00513976068,strohweg 89
marcella,zahn,19561118,1956,F,31005,emanuel10@hotmail.de,0081654651,klappstrasse 612
sahin,doering,19541101,1954,U,13574,cordcichorius@yahoo.de,0057563215,valeria-hein-weg 78
erna,pruschke,19610215,1961,F,78082,branka65@yahoo.de,04365385999,junitzstrasse 928
utz,margraf,19741009,1974,M,69009,kriehl@web.de,04182047865,tadeusz-heydrich-ring 1
vesna,eckbauer,19610921,1961,F,42137,zahnadolf@hotmail.de,0320219295,cindy-kruschwitz-weg 93
wilfried,loeffler,19800812,1980,M,29968,binnerrebecca@gmail.com,03169971874,lachmannstrasse 6
nicolai,gertz,19790428,1979,M,74108,eberhardtkonstanze@googlemail.com,00745388796,carolina-radisch-allee 5
gabriela,blochotto,19631021,1963,F,93089,benderselim@gmx.de,04027391507,abbas-krein-weg 3
kilian,weitzel,19521109,1952,M,17654,uwilmsen@aol.de,0371020524,elisa-pechel-allee 97
antoinette,schueler,20040507,2004,F,68402,constancepieper@aol.de,06198047138,roger-hoelzenbecher-strasse 7
axel,doehn,19761220,1976,M,62170,mikhail51@googlemail.com,00482661740,elisa-stiffel-strasse 72
kathy,loeffler,19731224,1973,F,49889,karina29@gmx.de,0939454192,kuhlplatz 9
hans,peterberger,20060516,2006,M,9187,ludwinastroh@googlemail.com,08864363436,hentschelstrasse 5
rosemarie,haering,19631202,1963,F,2053,annelieselosekann@hotmail.de,0892629105,leonardo-kohl-strasse 413
ante,hertrampf,19631228,1963,M,15396,austermuehlemagrit@yahoo.de,0230813750,patbergallee 916
joseph,schoenland,19900811,1990,M,66478,hartungbenno@gmx.de,04533987637,mitschkering 68
elsa,hessebauer,19470121,1947,F,39070,langernmato@aol.de,0368151335,heuserweg 56
kevin,hoefig,19730915,1973,M,99552,reimundbenthin@aol.de,02184056197,roehrichtplatz 61
angelika,franke,19991015,1999,F,10199,njaentsch@gmx.de,05293455117,fatih-stolze-ring 897
diedrich,hauffer,20060604,2006,M,70868,klorch@web.de,04521007810,torben-klapp-allee 46
frida,hoffmann,19540928,1954,F,42453,bonbachedit@yahoo.de,03784907845,handegasse 22
gesche,liebelt,19970127,1997,F,93121,rbonbach@googlemail.com,0348694321,adriana-schmiedt-allee 7
danielle,gutknechtherrmann,19560624,1956,F,41217,bodomeyer@googlemail.com,05416049811,joana-eberth-weg 84
eugen,casparthanel,19600810,1960,M,71836,grzegorzmaelzer@yahoo.de,03446910809,aleksandr-conradi-ring 44
peer,jungfer,19480225,1948,M,70722,pbutte@aol.de,0285822797,gutestrasse 33
franzpeter,mentzel,19691008,1969,M,76298,manuela35@hotmail.de,09556103546,foersterweg 71
heiner,albers,19580310,1958,M,61011,cstroh@yahoo.de,03693166164,yvette-wagenknecht-strasse 16
antonios,geisel,19460627,1946,M,44453,istiebitz@web.de,04143825934,hansgeorg-bachmann-gasse 26
mohammed,tschentscher,19620717,1962,M,60576,atzlervolkmar@hotmail.de,0051273178,jonas-jungfer-platz 9
bruni,hartmann,19850804,1985,F,14296,benita88@googlemail.com,0136420709,heserstrasse 82
engin,jockel,20070804,2007,M,8738,agathe13@yahoo.de,0858734690,trude-werner-strasse 66
samir,hertrampf,19480625,1948,M,33506,dehmelerdal@web.de,09410713630,heiner-zobel-gasse 7
franco,linke,19570726,1957,M,40940,constantinpieper@yahoo.de,0020004838,beckmannstrasse 7
pedro,roerrichtbluemel,19931215,1993,M,95680,fritschlinus@yahoo.de,01828687213,steystrasse 795
ernstotto,junck,19480709,1948,M,38375,sontagmaike@yahoo.de,0331966723,noackring 52
randolf,wohlgemut,19571224,1957,M,28103,benthinjanin@hotmail.de,0640160587,brigitte-lindau-allee 52
bodo,loechel,19510115,1951,M,53242,irmela57@yahoo.de,0008854099,guteweg 508
songuel,briemerlindner,20041020,2004,F,97250,grafhans-joerg@gmail.com,02230615416,jeannette-trupp-platz 11
michaele,mies,19471202,1947,F,17818,segebahnfrauke@yahoo.de,01861106896,johanne-krebs-weg 2
irmi,bohlanderehlert,19961003,1996,F,71286,lmuehle@yahoo.de,0286506503,harloffgasse 837
serge,franke,19801221,1980,M,92818,malgorzata80@web.de,06724916088,baehrallee 2
svetlana,ritter,19460117,1946,F,59288,unoack@gmail.com,01013308227,stumpfallee 59
gerdi,eimer,19961022,1996,F,8024,nadia34@gmx.de,04463375227,nadine-poelitz-allee 1
lotti,radisch,19990303,1999,F,28018,remoharloff@googlemail.com,0928174739,walli-kaester-allee 44
telse,meyer,19570917,1957,F,78206,hoelzenbechermagdalena@web.de,09374590047,pechelstrasse 88
henri,knappe,19860308,1986,M,58799,carolinschwital@aol.de,0303647291,claas-rudolph-strasse 229
helmut,wagner,19970521,1997,M,5058,reinerkuhl@aol.de,0805804247,schenkstrasse 54
ibrahim,birnbaum,19581017,1958,M,35812,whahn@googlemail.com,01124430117,donald-schueler-strasse 8
dorothe,lange,19671120,1967,F,15637,steinbergleonhard@web.de,0864989955,johanngasse 7
