first_name,last_name,dob,year_of_birth,gender,zip,address
annkathrin,ladeckbolnbach,19620821,1962,F,85639,mohammed-henschel-allee 74
hansguenter,sontag,19571009,1957,M,11987,carola-nette-strasse 6
gerda,junk,19531008,1953,F,31211,martha-ruppersberger-allee 98
gert,dippel,19720323,1972,M,3015,wulfallee 3
detlev,putz,19791203,1979,M,17524,lara-conradi-gasse 53
meral,mentzel,19690318,1969,F,86606,drewesring 5
fredo,dussenvan,19870115,1987,M,85614,evangelos-hande-ring 70
luis,ehlert,19780206,1978,M,31827,schwitalring 63
horst,hermighausen,19820629,1982,M,44464,anto-zimmer-gasse 8
branko,bergerruppert,19711112,1971,M,9882,boernerstrasse 77
hulda,walter,19520427,1952,F,13593,gunter-stoll-weg 13
marisa,eberth,19770815,1977,F,95699,friedrich-wilhelm-lorch-ring 5
evelyn,ditschlerin,19501125,1950,F,70404,xenia-trupp-ring 32
elmar,baehr,19800317,1980,M,44758,adlerweg 6
eveline,winkler,20000119,2000,F,48809,viktoria-franke-platz 9
friederike,junken,19871013,1987,F,56057,mechthilde-jessel-allee 866
charlotte,kabus,20040113,2004,F,94233,schleichring 242
willfried,gierschnermargraf,19500910,1950,M,254,koehlerring 928
brita,krause,19870806,1987,F,2113,yasmin-roht-allee 60
steven,loechel,19880227,1988,M,16157,henschelstrasse 787
zeki,etzler,19610401,1961,M,5988,schwitalgasse 4
philipp,sager,20060316,2006,M,84249,jane-barkholz-platz 9
helena,dussenvan,19980419,1998,F,9302,kristina-cichorius-allee 1482
eckard,nohlmans,19650419,1965,M,30669,erich-girschner-strasse 8
felizitas,doerschner,19850702,1985,F,13054,harloffplatz 351
vladimir,pruschke,19450310,1945,M,48913,veronique-zirme-gasse 955
joanna,geissler,19890512,1989,F,62602,ruststrasse 51
irmengard,seifert,19681127,1968,F,97303,nicolas-fiebig-strasse 4
holger,ruppersberger,19841007,1984,M,25752,luzia-losekann-ring 5
ludmila,barthsorgatz,19690204,1969,F,51448,anna-luise-haenel-platz 2
urban,gierschnerkroker,19570606,1957,M,41206,lachmannplatz 6
