first_name,last_name,dob,year_of_birth,gender,zip,address
adrian,pruschke,19490220,1949,M,90576,pechelstrasse 7
harro,kramer,19730717,1973,M,44252,groettnerweg 98
anneke,finkegumprich,19540515,1954,F,74895,gumprichstrasse 61
natalja,steinberg,19810610,1981,F,34404,austermuehleallee 3
damian,saeuberlich,20050507,2005,M,81682,ortmannweg 3
ildiko,troest,20070221,2007,F,30694,scholtzgasse 94
niko,briemer,19951127,1995,M,45279,adelinde-bloch-weg 69
gerda,jungfer,19780123,1978,F,46943,hessegasse 558
harald,baum,20001116,2000,M,18605,sibilla-doering-platz 37
liliane,schmidtke,19631124,1963,F,42490,sieringweg 334
isabella,steinberg,19540425,1954,F,32926,krausweg 4
flora,johannaumann,20070926,2007,F,14200,liane-speer-strasse 9
karina,haenel,20010516,2001,F,52662,tadeusz-hornich-gasse 2
abraham,hornig,19540608,1954,M,41817,bolzmanngasse 8
eberhardt,stadelmannstadelmann,20040114,2004,M,1480,andrei-buchholz-ring 146
isolde,klotz,19820812,1982,F,93449,schmidtgasse 4
helmtrud,lorch,19500702,1950,F,69465,stefan-reinhardt-platz 9
silva,juncken,19611206,1961,F,11725,sina-van der dussen-weg 794
henri,hartmannloeffler,19530930,1953,M,39798,putzring 304
krystyna,baehr,19560719,1956,F,44120,theo-kaul-platz 55
meral,barth,19750329,1975,F,37288,loechelring 11
kaethe,maelzer,19570723,1957,F,32705,bachmannstrasse 76
priska,schweitzer,19950218,1995,F,74861,thanelstrasse 88
wolfram,hecker,19900201,1990,M,57138,marta-dietz-weg 44
uschi,rogge,20030628,2003,F,62227,beerplatz 401
gunther,briemer,20041015,2004,M,67506,ladeckring 5
aenne,rust,19911213,1991,F,66401,hellwigstrasse 19
anette,greingroth,19840317,1984,F,75843,mijo-wirth-ring 6
benita,renner,20061022,2006,F,75567,roy-karge-weg 41
ingeburg,neuschaeferjaekel,19491207,1949,F,39292,schmiedtplatz 748
mona,walter,19760922,1976,F,94519,horst-weihmann-gasse 1
gusti,loeffler,19860222,1986,F,92366,markus-tintzmann-gasse 589
marianna,heidrich,19610613,1961,F,55692,sontagstrasse 41
renata,mentzel,19480303,1948,F,61640,beyerweg 25
harm,hoefig,19450905,1945,M,4834,bergerring 7
ernstaugust,mies,19620805,1962,M,29097,kristiane-siering-allee 3
natascha,kaul,19760515,1976,F,45141,stiffelweg 38
athanasios,berger,19810608,1981,M,19236,truebplatz 6
lucie,lindner,19540328,1954,F,23875,junckstrasse 16
ivo,ullrich,19940307,1994,M,79051,jaentschstrasse 33
gabi,flantz,19861201,1986,F,87202,francis-wilmsen-ring 82
utz,juettner,19650131,1965,M,62611,sofie-neuschaefer-weg 528
magdalena,hesse,19770627,1977,F,53612,wibke-tlustek-strasse 73
rosl,suessebiersager,19690902,1969,F,15248,kai-uwe-franke-ring 3
wolfdietrich,schulz,19450811,1945,M,27384,jozef-segebahn-strasse 3
aldo,radisch,19811107,1981,M,64719,rudolphallee 9
birgitta,beer,20060901,2006,F,72797,erwin-gute-ring 2
wiltrud,stolze,19910912,1991,F,22315,steuerring 88
willy,heidrich,19880530,1988,M,31655,atzlergasse 22
jeanette,klingelhoefer,19490313,1949,F,26321,andrew-loewer-allee 72
ansgar,ernst,19600723,1960,M,57201,nada-koester-strasse 28
hanswerner,scheuermann,20050706,2005,M,93684,eitel-schenk-weg 32
edith,wesack,19621225,1962,F,65634,werneckegasse 306
else,meister,19451222,1945,F,86642,walburga-krebs-ring 2
anka,zimmer,19730815,1973,F,45649,hella-weller-gasse 856
aloisia,heinrich,19740928,1974,F,93454,schaeferplatz 949
mijo,ziegert,19590310,1959,M,10937,steuerallee 56
tania,trapp,19710704,1971,F,12591,faustgasse 3
radmila,bolander,20050228,2005,F,61799,stahrallee 66
lisa,kade,19640318,1964,F,9048,hentschelgasse 24
lea,geissler,19830530,1983,F,65555,plathring 39
britta,doehn,19971105,1997,F,31511,klappgasse 60
emilie,jopich,20060813,2006,F,51039,ditmar-ebert-weg 54
gabriella,kade,19741006,1974,F,30599,baumgasse 740
roy,staude,19810314,1981,M,74275,saeuberlichallee 6
max,hettner,20070706,2007,M,44683,rebecca-kabus-weg 591
marlies,rudolph,19650609,1965,F,70402,antonietta-trub-weg 2
dorothea,koch,19761116,1976,F,95273,ansgar-heinrich-strasse 48
michelle,auchschlauchin,19820928,1982,F,97071,martin-hiller-ring 18
zita,juncken,19971114,1997,F,24506,wagnerstrasse 2
fernando,binner,19530420,1953,M,15860,dippelring 8
katy,kraushaar,19950612,1995,F,74189,gehringerring 22
ortwin,rudolph,19671019,1967,M,27856,nina-bachmann-ring 8
beatrice,reichmann,19610911,1961,F,69710,albin-koch-strasse 28
marion,benthin,19620525,1962,F,64888,marjan-hande-ring 3
antje,juncken,19780417,1978,F,87494,karzstrasse 8
veronika,mangold,19820704,1982,F,97220,kochstrasse 1
franz,bender,19570808,1957,M,44229,waehnerstrasse 6
dietmar,trommler,20040125,2004,M,93086,ira-johann-weg 66
gertrud,noack,19600926,1960,F,63019,aneta-cichorius-strasse 76
bjoern,haering,19770118,1977,M,77864,wilhelmine-foerster-strasse 8
elisa,gumprich,19450406,1945,F,67630,flantzstrasse 47
ulrike,gumprich,19970426,1997,F,63633,kathleen-beyer-strasse 68
jonas,boernertroest,19541111,1954,M,25153,beierring 76
emilia,dussenvanbauer,19540603,1954,F,87727,lotti-roehrdanz-ring 98
markus,auchschlauchin,19921129,1992,M,77380,weihmannstrasse 98
nicolaus,baererseifert,19470201,1947,M,28861,suse-waehner-platz 382
antonia,loewer,19560526,1956,F,60549,ringstrasse 719
klauspeter,roehricht,19801101,1980,M,44928,joseph-ehlert-allee 43
hanno,hertrampf,19960410,1996,M,51306,walterweg 30
laurenz,doering,19750323,1975,M,3875,eckhart-baum-strasse 52
irene,jacob,19981103,1998,F,203,butteallee 96
eckart,greingroth,19790921,1979,M,50815,carolin-muelichen-strasse 12
gitta,heinrich,19480526,1948,F,52638,fritschweg 4
delia,stey,19480115,1948,F,48053,segebahnstrasse 56
heinzguenther,haering,19931115,1993,M,47255,norman-lehmann-strasse 188
renato,werner,19880727,1988,M,58105,henkstrasse 2
ayten,anders,20070302,2007,F,60756,marjan-roemer-weg 9
hansludwig,weiss,19701122,1970,M,16937,guido-briemer-allee 3
andré,stroh,19910321,1991,M,61773,suzanne-fritsch-ring 78
philipp,wilmssorgatz,19671003,1967,M,18115,eckbauerring 21
reiner,textor,19681205,1968,M,4894,radmila-kitzmann-gasse 92
