first_name,last_name,dob,year_of_birth,gender,zip,address
adrian,pruschke,19490224,1949,M,90576,pechelstrasse 7
harro,kramer,19730721,1973,M,44252,groettnerweg 98
anneke,finkegumprich,19540519,1954,F,74895,gumprichstrasse 61
natalja,steinberg,19810614,1981,F,34404,austermuehleallee 3
damian,saeuberlich,20050511,2005,M,81682,ortmannweg 3
ildiko,troest,20070225,2007,F,30694,scholtzgasse 94
niko,briemer,19951201,1995,M,45279,adelinde-bloch-weg 69
gerda,jungfer,19780127,1978,F,46943,hessegasse 558
harald,baum,20001120,2000,M,18605,sibilla-doering-platz 37
liliane,schmidtke,19631128,1963,F,42490,sieringweg 334
isabella,steinberg,19540429,1954,F,32926,krausweg 4
flora,johannaumann,20070930,2007,F,14200,liane-speer-strasse 9
karina,haenel,20010520,2001,F,52662,tadeusz-hornich-gasse 2
abraham,hornig,19540612,1954,M,41817,bolzmanngasse 8
eberhardt,stadelmannstadelmann,20040118,2004,M,1480,andrei-buchholz-ring 146
isolde,klotz,19820816,1982,F,93449,schmidtgasse 4
helmtrud,lorch,19500706,1950,F,69465,stefan-reinhardt-platz 9
silva,juncken,19611210,1961,F,11725,sina-van der dussen-weg 794
henri,hartmannloeffler,19531004,1953,M,39798,putzring 304
krystyna,baehr,19560723,1956,F,44120,theo-kaul-platz 55
meral,barth,19750402,1975,F,37288,loechelring 11
kaethe,maelzer,19570727,1957,F,32705,bachmannstrasse 76
priska,schweitzer,19950222,1995,F,74861,thanelstrasse 88
wolfram,hecker,19900205,1990,M,57138,marta-dietz-weg 44
uschi,rogge,20030702,2003,F,62227,beerplatz 401
gunther,briemer,20041019,2004,M,67506,ladeckring 5
aenne,rust,19911217,1991,F,66401,hellwigstrasse 19
anette,greingroth,19840321,1984,F,75843,mijo-wirth-ring 6
benita,renner,20061026,2006,F,75567,roy-karge-weg 41
ingeburg,neuschaeferjaekel,19491211,1949,F,39292,schmiedtplatz 748
mona,walter,19760926,1976,F,94519,horst-weihmann-gasse 1
gusti,loeffler,19860226,1986,F,92366,markus-tintzmann-gasse 589
marianna,heidrich,19610617,1961,F,55692,sontagstrasse 41
renata,mentzel,19480307,1948,F,61640,beyerweg 25
harm,hoefig,19450909,1945,M,4834,bergerring 7
ernstaugust,mies,19620809,1962,M,29097,kristiane-siering-allee 3
natascha,kaul,19760519,1976,F,45141,stiffelweg 38
athanasios,berger,19810612,1981,M,19236,truebplatz 6
lucie,lindner,19540401,1954,F,23875,junckstrasse 16
ivo,ullrich,19940311,1994,M,79051,jaentschstrasse 33
gabi,flantz,19861205,1986,F,87202,francis-wilmsen-ring 82
utz,juettner,19650204,1965,M,62611,sofie-neuschaefer-weg 528
magdalena,hesse,19770701,1977,F,53612,wibke-tlustek-strasse 73
rosl,suessebiersager,19690906,1969,F,15248,kai-uwe-franke-ring 3
wolfdietrich,schulz,19450815,1945,M,27384,jozef-segebahn-strasse 3
aldo,radisch,19811111,1981,M,64719,rudolphallee 9
birgitta,beer,20060905,2006,F,72797,erwin-gute-ring 2
wiltrud,stolze,19910916,1991,F,22315,steuerring 88
willy,heidrich,19880603,1988,M,31655,atzlergasse 22
jeanette,klingelhoefer,19490317,1949,F,26321,andrew-loewer-allee 72
ansgar,ernst,19600727,1960,M,57201,nada-koester-strasse 28
hanswerner,scheuermann,20050710,2005,M,93684,eitel-schenk-weg 32
edith,wesack,19621229,1962,F,65634,werneckegasse 306
