T1,T2,T3,T4,T7,T9
AdtQKdSDDWCAjuEyCJF8MPF9YL8D27ytjjQmA3u7o6k=,UPXLrdeKNZQVaybOYzbOptZSh8aZLmhOFGEQzjD2Bmg=,izA0x5tqzTq1/fattEt/dyqp1gwFP/BzpRsD8vrGNHA=,mOt1zKG9GfbDdsHjArksv/xJmA1zyJHDR5s9fyi7fT8=,L/LFIvSW90fJQ2G0Q59FppvXKwNNnaT79+LEvb+lvMg=,X4VqjQX9QRVq/oh37SeZq6rPF9OkACYaQ+p8L2MrGrE=
T6Rw67rSGu3nugZM7nFcBokuj1JjSwyXoP9/uLWlQ5Y=,YuF5ae3c6oI3XpyT9nYhvzg6BWWz0bR5y18SPIhVGhY=,3J6iLgddWq8cLzNquL11Pj9dVzArVi0hSgfj2DhKM7g=,BOjjF8m8MJqzS6tO+yrJ3BMIioJwF9bS/4w4fgCzJXU=,goiM6VM0F/HNiKYdRWRBefLYxsTHWacsfD8HxpvraDo=,kX0ekj4hcKxRKD9RLqeGDLhRXjE/8YaifG3pHDOBy2Y=
8rYSFrge+L8PIYwVa6I9bIy4iV7FbjIh/pAjhTijo38=,2ducMRvQ1b5RaRKI1SpmQWsIp6u07rMSOcGQXvu/nqg=,ws8Lw/KIO5W2PYcriU0i7s+cxNrytu4Pj7zUFvAF1xo=,9XsFtRnQiviNO6qKpJ+mTipKcFPqWN5nnldPe6wwzwA=,oOBJtaHXjCp8Y4bKDEzcLQsnYLchNeSuwv43qFdspKk=,tACRWb/EZUCYgYNQxP5+I5iOm/TLWx1EbHH5Yv90Zo8=
3UOH2gaCf4/exnyLH3Yc+XmOUwwtBJtmbwRMOyuicvU=,2503q3Et7vX8Fwghkt/qzZ+lVCxb2mQ3Z97yjzg/DYE=,JwQLOIyb+Haa8fy7G24tAMzq8IECSFwKz8DjHgUJwIQ=,bXccQb11fIQN3ZFRr1l9aovr8IDCJlBGYv0AVjFvFhU=,RJzttAx7GoVV68ZcyYnFM81pFDUoU2lGLUoQ/CJHe8Y=,+3A39Sx+elKSWlD0vNr8/sKrNM/ODpHQ0bwZHLig5oQ=
ooRBgDvtTQzMeCQpftvVAqZqM0IhJoLVHFw2ix2hvmo=,dQvJKgOIUY4LCoq5R0Q4ZrJ0idJGM2SCm1/IL7R4bYI=,Y0linkPO8qJ1RjuWPUdUCEqNqeaV1XIcJN9ijdZJhqk=,dCHtTy6n81KzENRcYBoddYLyKSGLTDQebo7L/6jD6TA=,JJ/Kk8vzB8mw7wxQFF8gjTkBdzXTL1RZwbxDigPb3Qc=,55S+gfYxz7qupkk6LcKiqMwGr1Vck6GSVw7bX7QLcZk=
VGm2fXI7no6Xt9qqgyvEILu4yO9KYLGtB4lgpTorzwY=,myZo/4pXqI1DkVZvrJHbT8P7vex4osQ5r87H9oZ12K4=,Mnwt6p0P3VaPHY5TciKGhz0rco5YRudGANU9cV+8piU=,yu/AGHrW5HZyNadENxuhLnpKlcOg2nv/wPTqoRHpp8w=,qcVVBrwJWHpLhzZfW84CQX9MOqU3TTUhZnz/61jcJpk=,1/SIBEd0Ku42rAkCUQnY8P+kjP35rlQtwS9Ex5tol0I=
PvV9p9YC2+B02M0X8e2uuikvHnSm6hW3T0E2DvLSQRY=,+T439qqW25m8SQHHTgry+5WUoo22O6d8d+ebwlQ2li8=,ARTMcD5oNGmBbezzPNCsUnyWVTOENPy55HPnDmi1UIg=,1gocGmN58++0KEpuuSCEeuXmZ806TrzMzldaIjRkoB8=,p2ApK8MfG3KzqMPRY+pfUYwPd6mNf8YcOCjyKYghmeM=,2LnIn3hYghF8AhfXlSjxwzH5lTh/Uj7KKCfm5BIDDpo=
RopQ0cPXuB5FpXUoGnqlCmX7BvPBhuPMLAxX1GMTCyw=,JciY8y7mZCP5JQcBNqYwlIvXVmeloc4r526qz2Uu5V0=,SaqPTzKO5k3TrkQz8mYMZrXglxn5BEsvifFjvdoj6uQ=,wrBpG6dF6THxev/yH1vbl7IF0fxUtDNPDxfPoPnj6FE=,EgEOZknDvfsbEHgf+7m0NSTe9yUCY2AFZoA6P3MtY0o=,4Dxox8JXh4FUwAeuhaUe2WMpm/yg+XQ3dWqrTQ2LwZE=
g6SLjA81ibWviz+CkjAsLcQlw62yk8/Cabfr04EnVuA=,oKrCvyTy2I0mmf4fZYzxBgfXle80tBeiG93aCDOZonY=,CKt1x7Mj9HAuIgXmLTpmKZ+uayDL76IDettpTOMUFTA=,p2z0W0QxEO7AkObdd6LhMARAzYy5y9ZXYq7eJ/LFtlg=,mZyCnerZyiRljBsfYnau/TP55MfbFpBDLE/kAaS2+ks=,DGYTr5IV34WzxV0et28v2e3efK7EzhlV2D214T4c8Rw=
boNr+uimyfZOlJfdoX71OhjxRBe/m8a7V/Ly5hv9OA8=,M9GwthvFQRhBLKfEUadiQngcEt7vye9dppFhQTED/ms=,xJM+ngecda1igntB6IlQ0dE4nQVbYgOMwHKJIo1s8zA=,GLnApbYUVXDNE4sV93ObyIRxYnGAwxHcM/49seFf2pI=,3vwF5c/p8ilSqc7/Tdt0nOlfEzC46KfD0JY46+ZEOmg=,FpqpJekCChAm/7kzIdxGzBH/rzYoH99bnB4kdzbV/x0=
OUscA7KKNo8oZqjQwzL2/W9b8lYvzVjVdjIvv2jD+Ig=,x1XdZEP5/vLAHhUA/bNQupz6nQeOFCZEcDa2FYiCwuA=,5JesMqgCa8aDJfPPZCGEXmMc9AhGF4Jk/d03TS5f2IA=,4wPXaR6C1GLTZJj1WqKZPUhRMPm6FYuVuZad6BuEKQI=,IbYYZ6BKkax8RvoZnbpghODwvFWc+YV1bhRuUqHssR8=,5zI6dzH1GhkCjF/H4jlUNNDmK7CSPDmobF8DWnLu3kQ=
K+Rjj5n34unw9la9qdI3ZRwuXod+GuZ0SJZZAbOevXY=,oSg2QGGVBXIZhMrZUhjEcewQwCaOBjyF6dPnAHUfV3A=,vkIh8XfonmW8SLDgHitFuwgG2K/BTmeTPf1C/uQXyYw=,A/cYyQ9m1kz620JYwe+9LV0jMIKRWzmkbB9eNzrGeWA=,/cHFVSmjbCMaRbWfT9yghOIPUI4x5X1hkM/D4BxPiWU=,U+E4a8UtfGresI2iSwY9dbbc4eTimWSVKS9hiTYWG6I=
