first_name,last_name,dob,year_of_birth,gender,zip,email,phone,address
Ann-kathrin,Ladeck-bolnbach,19620817,1962,F,85639,tassiloheintze@web.de,03435 661154,Mohammed-Henschel-Allee 74
Hans-günter,Sontag,19571005,1957,M,11987,hkarge@aol.de,0981290464,Carola-Nette-Straße 6/1
Gerda,Junk,19531004,1953,F,31211,ajunk@web.de,+49(0)4341 267287,Martha-Ruppersberger-Allee 9812
Gert,Dippel,19720319,1972,M,03015,vheinz@yahoo.de,(05206) 62658,Wulfallee 3/8
Detlev,Putz,19791129,1979,M,17524,sieringnatalija@gmx.de,(04129) 970944,Lara-Conradi-Gasse 53-81
Meral,Mentzel,19690314,1969,F,86606,oknappe@hotmail.de,(03331) 79981,Drewesring 5/2
Fredo,Dussen Van,19870111,1987,M,85614,lschoenland@aol.de,+49(0)2127 713691,Evangelos-Hande-Ring 70/59
Luis,Ehlert,19780202,1978,M,31827,mdussen-van@yahoo.de,(02064) 56220,Schwitalring 63/52
Horst,Hermighausen,19820625,1982,M,44464,troestfrauke@aol.de,+49 (0) 9242 286695,Anto-Zimmer-Gasse 8/1
Branko,Berger-ruppert,19711108,1971,M,09882,walfriedgumprich@web.de,01299135140,Börnerstraße 7732
Hulda,Walter,19520423,1952,F,13593,rudolphhorst-dieter@gmail.com,(08435) 45744,Gunter-Stoll-Weg 13/41
Marisa,Eberth,19770811,1977,F,95699,dzimmer@gmail.com,02942 51653,Friedrich-Wilhelm-Lorch-Ring 5
Evelyn,Ditschlerin,19501121,1950,F,70404,jwulf@aol.de,00336597323,Xenia-Trupp-Ring 32/27
Elmar,Bähr,19800313,1980,M,44758,hans-henningwieloch@googlemail.com,(05206) 51675,Adlerweg 6-1
Eveline,Winkler,20000115,2000,F,48809,jkruschwitz@googlemail.com,+49(0)4584 671124,Viktoria-Franke-Platz 9-7
Friederike,Junken,19871009,1987,F,56057,philippwaehner@aol.de,(01323) 06412,Mechthilde-Jessel-Allee 866
Charlotte,Kabus,20040109,2004,F,94233,vinzenz06@googlemail.com,02815 30121,Schleichring 242
Willfried,Gierschner-margraf,19500906,1950,M,00254,patricia00@gmx.de,(09786) 111084,Köhlerring 928
Brita,Krause,19870802,1987,F,02113,tbruder@gmail.com,04003 638262,Yasmin-Roht-Allee 6082
Steven,Löchel,19880223,1988,M,16157,fstriebitz@yahoo.de,+49(0) 242203284,Henschelstr. 787
Zeki,Etzler,19610328,1961,M,05988,simona98@googlemail.com,0343325031,Schwitalgasse 4
Philipp,Sager,20060312,2006,M,84249,fritschgiovanna@yahoo.de,+49 (0) 6241 520023,Jane-Barkholz-Platz 9-6
Helena,Dussen Van,19980415,1998,F,09302,saeuberlichhannah@web.de,(01871) 68125,Kristina-Cichorius-Allee 1482
Eckard,Nohlmans Beng,19650415,1965,M,30669,tinowulff@gmx.de,(04892) 516682,Erich-Girschner-Straße 8/6
Felizitas,Dörschner Beng,19850628,1985,F,13054,mayaschomber@hotmail.de,+49(0)9516 29259,Harloffplatz 0
Vladimir,Pruschke,19450306,1945,M,48913,atzlermarita@aol.de,0085574795,Veronique-Zirme-Gasse 955
Joanna,Geißler,19890508,1989,F,62602,sschenk@googlemail.com,08950 103079,Ruststraße 51
Irmengard,Seifert,19681123,1968,F,97303,magdalena91@yahoo.de,+49(0) 523076347,Nicolas-Fiebig-Straße 4/6
Holger,Ruppersberger,19841003,1984,M,25752,meyerjuri@gmx.de,07474860900,Luzia-Losekann-Ring 5/4
Ludmila,Barth-sorgatz,19690131,1969,F,51448,jmargraf@gmail.com,+49(0)2897771255,Anna-Luise-Hänel-Platz 2/9
Urban,Gierschner-kroker,19570602,1957,M,41206,tatjana23@web.de,+49 (0) 1811 899057,Lachmannplatz 6/7
Gesa,Zirme,19450901,1945,F,59309,luisa69@yahoo.de,+49(0) 174577315,Seifertweg 74/41
Branko,Gierschner-weitzel,19940609,1994,M,85624,ehofmann@gmail.com,08533603579,Klemens-Hering-Gasse 2294
Antoinette,Pechel,19540925,1954,F,97019,delia78@aol.de,05990 257141,Schombergasse 3/9
Veronique,Schmidtke,19651216,1965,F,78415,hoefigedeltrud@web.de,02156 91289,Rädelstraße 2795
Annelies,Stahr,19680920,1968,F,45522,elli95@googlemail.com,+49(0)4726 21690,Girschnerplatz 24-54
Heinz-wilhelm,Ruppert,19550526,1955,M,99736,soelzercordula@yahoo.de,+49(0)0437 95455,Handering 927
Kemal,Pechel,19950208,1995,M,64352,ekkehardroht@aol.de,(04584) 66930,Holzapfelweg 3479
Anna,Ullmann,19490124,1949,F,86142,marcusbeyer@googlemail.com,00064815683,Ortmannring 9356
Henrike,Ullrich,20000422,2000,F,25237,helgegertz@googlemail.com,0239239792,Ulrich-Budig-Weg 9-9
Ronald,Seifert,19761007,1976,M,96795,ralf55@hotmail.de,(06011) 138257,Kreuselallee 787
Ron,Schlosser,19520509,1952,M,83727,carolinschmiedt@gmx.de,03008044340,Enver-Flantz-Allee 699
Jadwiga,Schmidt,19501029,1950,F,48887,anselmscheuermann@gmx.de,+49(0)7196928100,Samir-Bolander-Weg 6-1
Helge,Gröttner,20040430,2004,M,23687,etzoldzeki@gmx.de,05883 37572,Södinggasse 5-7
Eberhard,Zorbach,19800902,1980,M,64605,solveig32@gmx.de,+49 (0) 7050 654029,Antoinette-Reinhardt-Allee 39/90
Veronika,Heß Beng,19671111,1967,F,06397,npeukert@gmx.de,(08253) 591745,Jonas-Hertrampf-Allee 8-7
Ingetraud,Stadelmann-reichmann,19690215,1969,F,29663,plathwencke@web.de,(04890) 692595,Eimergasse 19/16
Halina,Henk,19870608,1987,F,14869,xwagner@gmx.de,(05322) 51716,Eggert-Schacht-Straße 8088
Katharine,Kusch,19530704,1953,F,00416,eboucsein@web.de,09434 468105,Burghard-Pärtzelt-Ring 0
Margot,Buchholz,19771116,1977,F,14944,adolfinekabus@gmx.de,(02945) 09025,Hans-Detlef-Beckmann-Gasse 9124
Maik,Hövel Beng,19660915,1966,M,06995,eugenia96@hotmail.de,+49(0)6354 01934,Jacobgasse 2/3
Madlen,Klotz,19600227,1960,F,66575,kenneth01@googlemail.com,0303276733,Henschelring 3-6
Marika,Wirth,19740501,1974,F,82444,delia15@gmail.com,+49(0)7913 54563,Schmiedtplatz 96/79
William,Haering,19610124,1961,M,11335,klaus-guenter28@aol.de,06236 325065,Birnbaumstr. 57
Hans-ulrich,Gude,19680319,1968,M,59976,schmiedeckeeva-maria@hotmail.de,07591288066,Hermine-Schwital-Gasse 6/2
Carla,Eckbauer,20070528,2007,F,73878,alina57@gmx.de,+49 (0) 7582 079539,Margit-Juncken-Weg 7/8
Vito,Rudolph,19630414,1963,M,49002,fkarz@web.de,08083 18583,Döhnallee 6962
Berndt,Patberg-eimer,19550407,1955,M,81512,helmuth42@hotmail.de,(02239) 28613,Ismail-Becker-Ring 7512
Birger,Kusch,19750523,1975,M,96080,sgunpf@gmx.de,09001025823,Siegmar-Stumpf-Gasse 2-1
Sevim,Wesack,19910729,1991,F,41962,yjaentsch@yahoo.de,07981 75211,Michaela-Rogge-Platz 3296
Klemens,Rosemann,19890914,1989,M,01092,imelda33@aol.de,+49(0) 693654215,Heydrichallee 3-6
Ricardo,Pölitz,19720117,1972,M,64483,langernchristl@web.de,0575494853,Schottinstraße 8
Harriet,Trupp,20011220,2001,F,09870,htrubin@gmx.de,(01797) 32508,Steckelweg 7-3
Christin,Krein Beng,19450325,1945,F,62958,vera07@web.de,+49(0)0243 714716,Franjo-Dippel-Weg 6-8
Mariana,Klemm,19490228,1949,F,25896,h-dieter90@yahoo.de,0548642165,Löfflergasse 73/51
Jochem,Loos,19720519,1972,M,58590,xgertz@web.de,01249 10505,Ruststraße 6
Folkert,Ditschlerin,19841130,1984,M,63631,bknappe@gmail.com,(08576) 48265,Weimerring 47/96
Karl,Heinz Gotthard-ullrich,19831227,1983,M,99877,august91@aol.de,(07201) 326053,Mülichenallee 38-74
Irina,Stoll,19911114,1991,F,52132,lroehrdanz@yahoo.de,+49(0) 336395306,Hartmannstr. 10-44
Alexandros,Killer,19610820,1961,M,94221,idageisel@web.de,+49(0) 849873246,Steuerstraße 5-4
Willi,Mälzer,19471022,1947,M,18709,gertrudhartung@hotmail.de,(05262) 88428,Sylvia-Schuster-Allee 8-8
Astrid,Ullmann,19570514,1957,F,25171,sarinaholzapfel@googlemail.com,(02073) 38332,Jochem-Stiebitz-Weg 4/8
Kristine,Pölitz Beng,19660727,1966,F,82069,gudeelke@hotmail.de,+49(0)1271 949418,Tabea-Ortmann-Ring 10-72
Albrecht,Jockel,19530729,1953,M,12181,jfritsch@googlemail.com,09444 46585,Ritterstraße 2478
Balthasar,Henk,19761007,1976,M,25477,zmentzel@gmail.com,+49(0) 047213345,Annelie-Rogner-Platz 6
Mattias,Plath,19561121,1956,M,02347,kostolzinrebekka@gmx.de,+49(0) 844038663,Arnim-Zobel-Ring 4556
Henri,Jacobi Jäckel,19641028,1964,M,76252,qsoelzer@web.de,01802 20115,Stumpfring 2-4
Maja,Etzler-schönland,19590424,1959,F,15912,hornigsteve@hotmail.de,+49(0) 219294404,Berndt-Gotthard-Ring 73
Christin,Freudenberger Beng,19841222,1984,F,58249,harry24@web.de,+49 (0) 5321 458484,Jopichweg 3575
Iwan,Christoph-henschel,19510930,1951,M,76505,aleksandar37@googlemail.com,+49(0)6428 22194,Pergandeplatz 8
Ralph,Huhn,19921221,1992,M,56728,nikolasmeyer@yahoo.de,+49(0)9523 32246,Steven-Gutknecht-Platz 1
Beata,Stumpf,19670703,1967,F,73865,henckkarl-friedrich@googlemail.com,03289 88841,Beatrix-Sontag-Platz 3
Teresa,Fechner,19921017,1992,F,38949,bluemelkathi@web.de,(01985) 76234,Schustergasse 70
Helga,Segebahn,19530610,1953,F,36247,bonbachhans-wolfgang@hotmail.de,+49(0)2844 014014,Ullrichstr. 1570
Ellen,Kitzmann Beng,19681115,1968,F,50828,tassilo96@googlemail.com,03664 41092,Kenan-Lübs-Weg 7-2
Murat,Linke,19981022,1998,M,70975,siegridstumpf@gmx.de,00506865973,Wilmsenstr. 1820
Luis,Löwer,19630823,1963,M,52608,siegbert88@googlemail.com,0464840454,Ackermannallee 5/3
Magdalena,Bauer,19560504,1956,F,38239,walli71@gmail.com,(05369) 47575,auch Schlauchinstr. 30-79
Doris,Peukert-scheel,19550509,1955,F,80719,doehnmarlies@hotmail.de,(08276) 80650,Raimund-Schäfer-Gasse 1
Iwan,Hiller-sager,19581215,1958,M,97476,ericahoefig@aol.de,+49(0)1444958951,Löfflerplatz 8269
Benno,Hölzenbecher,19530729,1953,M,68644,minnahenschel@yahoo.de,+49(0)2854 32689,Marta-Salz-Allee 2347
Ruth,Heinz Beng,20050215,2005,F,78485,eugenie95@hotmail.de,(06978) 51444,Ernst-Dieter-Birnbaum-Weg 513
Amelie,Täsche,19751219,1975,F,22936,jaekelisabell@gmail.com,01493 05652,Tschentschergasse 92/68
Priska,Kabus Beng,19981122,1998,F,26144,torstenzaenker@hotmail.de,+49(0)2223532426,Köhlerallee 3424
Arif,Lange,19940302,1994,M,75812,magdalena25@gmail.com,00516451976,Grein Grothplatz 2-2
Nuri,Fliegner,19540714,1954,M,48973,gisbertadolph@aol.de,07737 27124,Dörrweg 1/9
Sigurd,Speer,19640422,1964,M,45337,anette37@googlemail.com,+49(0)8525 584085,Schlosserstr. 3157
Halil,Schäfer,19530414,1953,M,42396,qroerricht@aol.de,+49(0) 574229719,Hans-Willi-Trüb-Allee 9/3
Tom,Biggen,19780627,1978,M,56270,eugenieebert@hotmail.de,(03722) 60002,Schäferallee 2
Burghard,Ernst Beng,19760107,1976,M,44138,stella69@googlemail.com,+49 (0) 4082 646675,Dussen vanring 9
Helga,Seifert,19901222,1990,F,02749,reimer13@aol.de,+49 (0) 3430 520511,Bolanderstr. 9880
Reimund,Bloch,19600322,1960,M,38022,gunarmeyer@gmx.de,+49(0)8726196113,Eberhardtgasse 547
