first_name,last_name,dob,year_of_birth,gender,zip,address
Ann-kathrin,Ladeck-bolnbach,19620821,1962,F,85639,Mohammed-Henschel-Allee 74
Hans-günter,Sontag,19571009,1957,M,11987,Carola-Nette-Straße 6/1
Gerda,Junk,19531008,1953,F,31211,Martha-Ruppersberger-Allee 9812
Gert,Dippel,19720323,1972,M,03015,Wulfallee 3/8
Detlev,Putz,19791203,1979,M,17524,Lara-Conradi-Gasse 53-81
Meral,Mentzel,19690318,1969,F,86606,Drewesring 5/2
Fredo,Dussen Van,19870115,1987,M,85614,Evangelos-Hande-Ring 70/59
Luis,Ehlert,19780206,1978,M,31827,Schwitalring 63/52
Horst,Hermighausen,19820629,1982,M,44464,Anto-Zimmer-Gasse 8/1
Branko,Berger-ruppert,19711112,1971,M,09882,Börnerstraße 7732
Hulda,Walter,19520427,1952,F,13593,Gunter-Stoll-Weg 13/41
Marisa,Eberth,19770815,1977,F,95699,Friedrich-Wilhelm-Lorch-Ring 5
Evelyn,Ditschlerin,19501125,1950,F,70404,Xenia-Trupp-Ring 32/27
Elmar,Bähr,19800317,1980,M,44758,Adlerweg 6-1
Eveline,Winkler,20000119,2000,F,48809,Viktoria-Franke-Platz 9-7
Friederike,Junken,19871013,1987,F,56057,Mechthilde-Jessel-Allee 866
Charlotte,Kabus,20040113,2004,F,94233,Schleichring 242
Willfried,Gierschner-margraf,19500910,1950,M,00254,Köhlerring 928
Brita,Krause,19870806,1987,F,02113,Yasmin-Roht-Allee 6082
Steven,Löchel,19880227,1988,M,16157,Henschelstr. 787
Zeki,Etzler,19610401,1961,M,05988,Schwitalgasse 4
Philipp,Sager,20060316,2006,M,84249,Jane-Barkholz-Platz 9-6
Helena,Dussen Van,19980419,1998,F,09302,Kristina-Cichorius-Allee 1482
Eckard,Nohlmans Beng,19650419,1965,M,30669,Erich-Girschner-Straße 8/6
Felizitas,Dörschner Beng,19850702,1985,F,13054,Harloffplatz 0
Vladimir,Pruschke,19450310,1945,M,48913,Veronique-Zirme-Gasse 955
Joanna,Geißler,19890512,1989,F,62602,Ruststraße 51
Irmengard,Seifert,19681127,1968,F,97303,Nicolas-Fiebig-Straße 4/6
Holger,Ruppersberger,19841007,1984,M,25752,Luzia-Losekann-Ring 5/4
Ludmila,Barth-sorgatz,19690204,1969,F,51448,Anna-Luise-Hänel-Platz 2/9
Urban,Gierschner-kroker,19570606,1957,M,41206,Lachmannplatz 6/7
Gesa,Zirme,19450905,1945,F,59309,Seifertweg 74/41
Branko,Gierschner-weitzel,19940613,1994,M,85624,Klemens-Hering-Gasse 2294
Antoinette,Pechel,19540929,1954,F,97019,Schombergasse 3/9
Veronique,Schmidtke,19651220,1965,F,78415,Rädelstraße 2795
Annelies,Stahr,19680924,1968,F,45522,Girschnerplatz 24-54
Heinz-wilhelm,Ruppert,19550530,1955,M,99736,Handering 927
Kemal,Pechel,19950212,1995,M,64352,Holzapfelweg 3479
Anna,Ullmann,19490128,1949,F,86142,Ortmannring 9356
Henrike,Ullrich,20000426,2000,F,25237,Ulrich-Budig-Weg 9-9
Ronald,Seifert,19761011,1976,M,96795,Kreuselallee 787
Ron,Schlosser,19520513,1952,M,83727,Enver-Flantz-Allee 699
Jadwiga,Schmidt,19501102,1950,F,48887,Samir-Bolander-Weg 6-1
Helge,Gröttner,20040504,2004,M,23687,Södinggasse 5-7
Eberhard,Zorbach,19800906,1980,M,64605,Antoinette-Reinhardt-Allee 39/90
Veronika,Heß Beng,19671115,1967,F,06397,Jonas-Hertrampf-Allee 8-7
Ingetraud,Stadelmann-reichmann,19690219,1969,F,29663,Eimergasse 19/16
Halina,Henk,19870612,1987,F,14869,Eggert-Schacht-Straße 8088
Katharine,Kusch,19530708,1953,F,00416,Burghard-Pärtzelt-Ring 0
Margot,Buchholz,19771120,1977,F,14944,Hans-Detlef-Beckmann-Gasse 9124
Maik,Hövel Beng,19660919,1966,M,06995,Jacobgasse 2/3
Madlen,Klotz,19600302,1960,F,66575,Henschelring 3-6
Marika,Wirth,19740505,1974,F,82444,Schmiedtplatz 96/79
William,Haering,19610128,1961,M,11335,Birnbaumstr. 57
Hans-ulrich,Gude,19680323,1968,M,59976,Hermine-Schwital-Gasse 6/2
Carla,Eckbauer,20070601,2007,F,73878,Margit-Juncken-Weg 7/8
Vito,Rudolph,19630418,1963,M,49002,Döhnallee 6962
Berndt,Patberg-eimer,19550411,1955,M,81512,Ismail-Becker-Ring 7512
Birger,Kusch,19750527,1975,M,96080,Siegmar-Stumpf-Gasse 2-1
Sevim,Wesack,19910802,1991,F,41962,Michaela-Rogge-Platz 3296
Klemens,Rosemann,19890918,1989,M,01092,Heydrichallee 3-6
Ricardo,Pölitz,19720121,1972,M,64483,Schottinstraße 8
Harriet,Trupp,20011224,2001,F,09870,Steckelweg 7-3
Christin,Krein Beng,19450329,1945,F,62958,Franjo-Dippel-Weg 6-8
Mariana,Klemm,19490304,1949,F,25896,Löfflergasse 73/51
Jochem,Loos,19720523,1972,M,58590,Ruststraße 6
Folkert,Ditschlerin,19841204,1984,M,63631,Weimerring 47/96
Karl,Heinz Gotthard-ullrich,19831231,1983,M,99877,Mülichenallee 38-74
Irina,Stoll,19911118,1991,F,52132,Hartmannstr. 10-44
Alexandros,Killer,19610824,1961,M,94221,Steuerstraße 5-4
Willi,Mälzer,19471026,1947,M,18709,Sylvia-Schuster-Allee 8-8
Astrid,Ullmann,19570518,1957,F,25171,Jochem-Stiebitz-Weg 4/8
Kristine,Pölitz Beng,19660731,1966,F,82069,Tabea-Ortmann-Ring 10-72
Albrecht,Jockel,19530802,1953,M,12181,Ritterstraße 2478
Balthasar,Henk,19761011,1976,M,25477,Annelie-Rogner-Platz 6
Mattias,Plath,19561125,1956,M,02347,Arnim-Zobel-Ring 4556
Henri,Jacobi Jäckel,19641101,1964,M,76252,Stumpfring 2-4
Maja,Etzler-schönland,19590428,1959,F,15912,Berndt-Gotthard-Ring 73
Christin,Freudenberger Beng,19841226,1984,F,58249,Jopichweg 3575
Iwan,Christoph-henschel,19511004,1951,M,76505,Pergandeplatz 8
Ralph,Huhn,19921225,1992,M,56728,Steven-Gutknecht-Platz 1
Beata,Stumpf,19670707,1967,F,73865,Beatrix-Sontag-Platz 3
Teresa,Fechner,19921021,1992,F,38949,Schustergasse 70
Helga,Segebahn,19530614,1953,F,36247,Ullrichstr. 1570
Ellen,Kitzmann Beng,19681119,1968,F,50828,Kenan-Lübs-Weg 7-2
Murat,Linke,19981026,1998,M,70975,Wilmsenstr. 1820
Luis,Löwer,19630827,1963,M,52608,Ackermannallee 5/3
Magdalena,Bauer,19560508,1956,F,38239,auch Schlauchinstr. 30-79
Doris,Peukert-scheel,19550513,1955,F,80719,Raimund-Schäfer-Gasse 1
Iwan,Hiller-sager,19581219,1958,M,97476,Löfflerplatz 8269
Benno,Hölzenbecher,19530802,1953,M,68644,Marta-Salz-Allee 2347
Ruth,Heinz Beng,20050219,2005,F,78485,Ernst-Dieter-Birnbaum-Weg 513
Amelie,Täsche,19751223,1975,F,22936,Tschentschergasse 92/68
Priska,Kabus Beng,19981126,1998,F,26144,Köhlerallee 3424
Arif,Lange,19940306,1994,M,75812,Grein Grothplatz 2-2
Nuri,Fliegner,19540718,1954,M,48973,Dörrweg 1/9
Sigurd,Speer,19640426,1964,M,45337,Schlosserstr. 3157
Halil,Schäfer,19530418,1953,M,42396,Hans-Willi-Trüb-Allee 9/3
Tom,Biggen,19780701,1978,M,56270,Schäferallee 2
Burghard,Ernst Beng,19760111,1976,M,44138,Dussen vanring 9
Helga,Seifert,19901226,1990,F,02749,Bolanderstr. 9880
Reimund,Bloch,19600326,1960,M,38022,Eberhardtgasse 547
Francoise,Hartung,19620409,1962,U,75021,Kostolzinplatz 58/57
Anna-luise,Ruppersberger,19861113,1986,F,86558,Hatice-Döhn-Straße 2828
Desiree,Binner,19710717,1971,F,58454,Gertraud-Steinberg-Allee 40/89
Sigurd,Kraushaar,19820630,1982,M,37196,Lotti-Putz-Allee 4/1
Wieland,Gehringer,19500119,1950,M,68862,Eileen-Schmidtke-Gasse 35/34
Rico,Fröhlich Beng,19830207,1983,M,38575,Scholzgasse 4563
Philip,Radisch,19620704,1962,M,39703,Tröstgasse 1/5
Wolf-rüdiger,Junk Beng,19850430,1985,M,08796,Mirella-Hartung-Weg 21
Vito,Bender,19720626,1972,M,05051,Helmuth-Klapp-Straße 2/9
Birger,Ernst,19731103,1973,M,48256,Charlotte-Bachmann-Weg 2/6
Burkhardt,Hartmann,20021012,2002,M,98397,Wiltrud-Matthäi-Ring 70/45
Maximilian,Schomber,19901110,1990,M,86500,Dagobert-Schomber-Weg 2-2
Leonardo,Stoll-rust,19540703,1954,M,94977,Weißstraße 6
Evi,Klotz-salz,19760520,1976,F,11649,Schinkeweg 3-8
Stjepan,Etzold,19980525,1998,M,05757,Heimo-Heß-Weg 10/47
Annemie,Bolzmann,19770313,1977,F,65571,Roseplatz 6
Serge,Hoffmann,19680930,1968,M,47826,Pohlring 2641
Lutz,Mans,20030913,2003,M,80830,Holstenallee 4/7
Sina,Bien,20030411,2003,F,72469,Ehlertgasse 95-66
Hermine,Schottin,20001007,2000,F,09989,Budigplatz 810
Drago,Jockel,19860318,1986,M,89472,Beckmannplatz 925
Geza,Steuer,19521129,1952,U,30887,Enrico-Rose-Platz 480
Francisco,Kühnert,19651227,1965,M,97238,Zirmeplatz 3-1
Herbert,Gotthard,19721204,1972,M,37135,Raimund-Trupp-Straße 49-45
Harry,Preiß,19571122,1957,M,33683,Lehmannplatz 1
Pietro,Trüb,19780211,1978,M,88134,Hanni-Ackermann-Gasse 7
Mahmoud,Ebert,20030823,2003,M,84663,Sagerstr. 39-84
Necati,Möchlichen,19791117,1979,M,94460,Blochring 66/87
Siegrid,Koch,19750830,1975,F,20195,Karola-Holt-Weg 241
Valentin,Weihmann,19540729,1954,M,51811,Neureuthergasse 81-29
Miodrag,Krebs-plath,19590510,1959,M,71492,Södingplatz 3
Felizitas,Löwer Beng,19600824,1960,F,87033,Steckelstraße 5702
Simon,Jüttner Beng,19560408,1956,M,56425,Delia-Spieß-Allee 706
Traude,Zänker-roht,19510206,1951,F,09735,Anatoli-Schottin-Ring 6090
Lukas,Hermighausen,19520828,1952,M,66943,Leonie-Spieß-Weg 21/86
Slawomir,Wernecke,19530818,1953,U,38476,Hanno-Ortmann-Gasse 5/2
Sieglinde,Trubin,19660223,1966,F,48172,Horst-Dieter-Kroker-Platz 6
Dorina,Kitzmann-mielcarek,19530428,1953,F,91722,Ludwig-Jacobi Jäckel-Weg 7673
Eva-maria,Oderwald,19561021,1956,F,26478,Müllerweg 60-79
Ehrenfried,Gorlitz,19950919,1995,M,51938,Stiffelweg 8990
Annegrete,Rudolph,20030721,2003,F,46891,Guntram-Jacob-Weg 1/9
Manja,Trub,19681026,1968,F,75985,Holstenplatz 2
Salih,Renner,19880710,1988,M,50332,Pieperweg 73-82
Janina,Striebitz,19620420,1962,F,61992,Gerlachallee 8
Eugenia,Carsten,19591019,1959,F,41351,Urs-Fechner-Ring 8417
Alwin,Gude,19861012,1986,M,71819,Noackgasse 31/24
Ralph,Mende,19610730,1961,M,35521,Dowergstr. 702
Birgitta,Weihmann,19640309,1964,F,64547,Müllerweg 312
Karoline,Gumprich,20020101,2002,F,31937,Nora-Dobes-Gasse 882
Gisbert,Austermühle,19620927,1962,M,53061,Wellerstr. 453
Susann,Scheibe Beng,19470311,1947,F,13118,Kornelius-Lübs-Straße 8537
Janett,Scheel-seifert,19920715,1992,F,06607,Kambsallee 5
Caterina,Lübs,19700110,1970,F,46576,Marika-Spieß-Allee 3
Benjamin,Tschentscher,19680514,1968,M,78365,Yilmaz-Sölzer-Ring 21-44
Nils,Pechel,19930206,1993,M,61008,Bruni-Förster-Allee 4
Mathias,Bähr,19780809,1978,M,54221,Birger-Rogge-Gasse 32/66
Gottfried,Scholz,20011013,2001,M,22946,Nergerweg 10-15
Sylvia,Dietz,19720824,1972,F,92568,Blochstr. 6861
Sylvie,Kitzmann,20070308,2007,F,84472,Wolfgang-Bolzmann-Ring 8/5
Hans-theo,Werner,20030219,2003,M,32337,Zimmerstraße 37-50
Ignatz,Eimer-jacobi Jäckel,19760607,1976,M,49368,Biengasse 913
Elisabet,Tröst,19730706,1973,F,10806,Matthäiring 7/3
Emmi,Gotthard,19780403,1978,F,27314,Sagerstr. 5
Reimer,Stiffel,19610221,1961,M,31668,Katrin-Jäntsch-Platz 464
Karoline,Schuster-kohl,19990504,1999,F,40855,Valentine-Nohlmans-Platz 3-2
Manuela,Henk,20021230,2002,F,79792,Horst-Peter-Schmiedt-Platz 7945
Ercan,Gertz,20011215,2001,M,83185,Mülichenstr. 19
Frederike,Kusch,19610523,1961,F,52483,Dietzplatz 4/8
Rotraud,Van Der Dussen,19860507,1986,F,43235,Jenny-Müller-Allee 23/48
Andrei,Kreusel-steckel,20070929,2007,M,41065,Ruppertstraße 6-9
Almuth,Krebs,19610503,1961,F,40062,Peukertweg 249
Korbinian,Scholl Beng,19910917,1991,M,77070,Horst-Holsten-Gasse 2/8
Hans-helmut,Etzold,19870221,1987,M,82226,Hänelstraße 55
Amalia,Biggen-holt,19880613,1988,F,71768,Sami-Mülichen-Ring 16-75
Klara,Zahn,20061206,2006,F,43657,Gorlitzplatz 7
Branko,Birnbaum,19880706,1988,M,57945,Albersring 93-48
Vincent,Schüler,20011016,2001,M,19925,Luka-Hartmann-Straße 543
Rotraud,Kallert,19580404,1958,F,26616,Doris-Gute-Straße 6
Alwin,Peukert,19741204,1974,M,93886,Victor-Boucsein-Straße 39
Carl-heinz,Jäntsch-beckmann,19731116,1973,M,36161,Theobald-Eimer-Allee 1
Mehdi,Cichorius,19690907,1969,M,80157,Eigenwilligallee 1-9
Tania,Sager,20000704,2000,F,08936,Romana-Lange-Ring 3
Gerolf,Scheibe,20060531,2006,M,08569,Wellerweg 2/4
Heinz-walter,Bolnbach,19981103,1998,M,61051,Davidsgasse 735
Janet,Herrmann,19740213,1974,F,67595,Heinrichplatz 8
Sieghard,Mühle,19950922,1995,M,12934,Bolzmannring 5-5
Ayten,Schaaf-holzapfel,19550427,1955,F,66587,Henschelring 7
Cornelius,Zahn,19601102,1960,M,15721,Brunhilde-Ruppert-Gasse 3/9
Fernando,Wähner,19520131,1952,M,48516,Jäntschring 7/9
Waltraud,Löchel,19500119,1950,F,39520,Aleksandr-Oderwald-Platz 4/1
Kathy,Kraushaar,19951230,1995,F,79324,Sigismund-Pärtzelt-Ring 149
Robert,Buchholz Beng,19851113,1985,M,99955,Steyplatz 9-4
Thorben,Gerlach,19540426,1954,M,93022,Striebitzweg 888
Aleksandra,Säuberlich,19820814,1982,F,44480,Hardy-Jungfer-Ring 4
Delia,Schmiedecke,19561114,1956,F,64157,Flantzgasse 7
Erdal,Scholl,19970401,1997,M,25565,Christophstraße 40/46
Sigrun,Graf,19840318,1984,F,96144,Piepergasse 73/29
Susanna,Seifert,19941208,1994,F,89999,Oestrovskystr. 73-83
Ladislaus,Schottin,19640915,1964,M,10972,Georgios-Wagner-Ring 4-3
Dragan,Klingelhöfer,19630607,1963,M,85213,Binnerstraße 8/4
Inna,Scheibe,19730108,1973,F,92962,Friedhilde-Vollbrecht-Straße 62-34
Rudolf,Schäfer,19590613,1959,M,02729,Kristina-Börner-Platz 18/34
Gretel,Werner,19831112,1983,F,60227,Haufferring 173
Victoria,Dörschner,19651115,1965,F,48296,Willibert-Sauer-Ring 2874
Hans-walter,Röhrdanz,20031029,2003,M,23533,Klappgasse 25/53
Frank-michael,Döring,20031217,2003,M,05945,Walburga-Karge-Straße 1-2
Hellmut,Zorbach-meyer,19520311,1952,M,37829,Annika-Börner-Straße 6-1
Karl-otto,Liebelt,19600519,1960,M,57456,Binnerstr. 87/13
Roswitha,Mielcarek,19851127,1985,F,31691,Benthinring 2/1
Fatih,Roskoth,19940622,1994,M,51629,Kühnertplatz 59-57
Hartmuth,Eberth-kaul,19480814,1948,M,63448,Mustafa-Gorlitz-Platz 65/48
Karin,Henschel,20040705,2004,F,35454,Linus-Rust-Ring 3776
Antoinette,Bloch,19530730,1953,F,41386,Bertram-Gieß-Gasse 2-3
Francesco,Freudenberger,19810723,1981,M,28712,Ruppertweg 9/1
Agnes,Fliegner,19960509,1996,F,03614,Friedbert-Bachmann-Gasse 3/6
Cengiz,Wilms,19550710,1955,M,11330,Alina-Losekann-Weg 0
Elmar,Jessel-kreusel,19710305,1971,M,45713,Heiner-Christoph-Weg 1/6
Serge,Schulz,19481206,1948,M,02886,Georgine-Werner-Straße 7-7
Liesbeth,Jacobi Jäckel,19890108,1989,F,68104,Wielochallee 74
Heinz-dieter,Adolph,19941202,1994,M,17057,Deborah-Harloff-Straße 1-9
Johan,Eckbauer,19780306,1978,M,50711,Nada-Holzapfel-Gasse 4/7
Mirjana,Van Der Dussen,19730827,1973,F,46488,Pärtzeltplatz 4-9
Marion,Hoffmann,19661224,1966,F,20404,Jacoballee 7/8
Sigrun,Rust,19671109,1967,F,63862,Stiebitzplatz 29-92
Kasimir,Keudel,19581018,1958,M,76792,Langernallee 81/79
Branka,Benthin-rädel,19550109,1955,F,19705,Lissy-Schmidtke-Gasse 7/9
Sibylle,Gumprich Beng,19460322,1946,F,87819,Tschentscherplatz 7610
Diethard,Bohnbach,19551230,1955,M,06290,Tillmann-Rosenow-Gasse 805
Annett,Johann,19641023,1964,F,69567,Hermighausenring 974
Diethard,Fiebig,19710316,1971,M,91376,Stefan-Jacob-Allee 43
Kira,Söding,19500618,1950,F,95465,Rainer-Jüttner-Weg 86-96
Mario,Pruschke,20001010,2000,M,87850,Roy-Ernst-Gasse 5053
Gabi,Scholz-hering,19671130,1967,F,02073,Johannplatz 81-36
Jadwiga,Pergande-steckel,19960108,1996,F,18838,Monja-Nohlmans-Platz 1
Silke,Striebitz,19511025,1951,F,94820,Gumprichplatz 4/1
Hans-adolf,Reising,19760701,1976,M,45272,Carl-Heinz-Eberhardt-Gasse 6
Mona,Kusch,19860307,1986,F,26250,Boucseinstraße 41-25
Songül,Bender,19530823,1953,F,35983,Erkan-Pechel-Platz 6
Serge,Weiß-rosemann,19690106,1969,M,03141,Svetlana-Drubin-Gasse 30/46
Kathrin,Langern,19790425,1979,F,95636,Johannes-Haase-Gasse 72
Jann,Bien Beng,19741214,1974,M,02411,Christophplatz 2-3
Emil,Plath,19500212,1950,M,61804,Edeltraut-Reising-Gasse 6/6
Hans-detlef,Etzold,19740219,1974,M,98272,Lieschen-Gude-Platz 89
Aleksandar,Jäkel,19580605,1958,M,86152,Kobeltring 9/1
Natalija,Trupp,19840330,1984,F,70507,Henryk-Zirme-Allee 9/7
Götz,Drub,19771213,1977,M,02868,Felicitas-Caspar-Weg 50/20
Halina,Höfig,19751014,1975,F,02765,Kargegasse 98
Benita,Stiffel,19891003,1989,F,01680,Schulzring 5561
Petros,Thanel,19910504,1991,M,95304,Jolanthe-Neureuther-Platz 46
Stefani,Mühle,19450101,1945,F,45680,Hans-Gerd-Heinz-Weg 191
Luzie,Scheibe,19580720,1958,F,69211,Schollstr. 95-62
Bianca,Rosenow,19841022,1984,F,40554,Michel-Hövel-Weg 46/20
Mustafa,Fritsch,19960330,1996,M,61794,Kreuselweg 1
Rüdiger,Walter,19930312,1993,M,17362,Abram-Krebs-Ring 556
Elsa,Keudel,19720419,1972,F,60814,Janin-Rogge-Weg 8-6
Kaspar,Eberhardt,19930118,1993,M,35090,Adlerweg 19
Zehra,Wohlgemut,19601130,1960,F,64439,Carstengasse 36-55
Gero,Weller,19550914,1955,M,34015,Ottmar-Kostolzin-Ring 22
Alla,Rogner,19650505,1965,F,57409,Margarita-Cichorius-Straße 90/61
Reni,Bruder,19580222,1958,F,73235,Brian-Ullmann-Weg 5
Patrik,Patberg,19530615,1953,M,49067,Faustweg 11
Timm,Tintzmann,19760629,1976,M,23172,Dietzallee 2/8
Giesela,Bolnbach,19690518,1969,F,18143,Sina-Ullmann-Allee 1
Ayten,Scheibe,19910617,1991,F,10709,Wendelin-Kruschwitz-Gasse 3/4
Marc,Dietz-sölzer,19980510,1998,M,28270,Annelie-Hövel-Platz 43/56
Olivia,Becker-rosenow,19660131,1966,F,32375,Burkhard-Schmiedecke-Straße 2-8
Swen,Lange,19760115,1976,M,92495,Pergandegasse 5203
Knud,Roskoth,20000518,2000,M,12317,Tino-Heß-Ring 80-36
Liesel,Briemer,19450413,1945,F,81785,Ullrichplatz 2-1
Ralf-peter,Tröst-vollbrecht,19590422,1959,M,94456,Leif-Graf-Ring 23/31
Janusz,Henschel-harloff,19760928,1976,M,77592,Klemmstr. 8-9
Liane,Thies,20020719,2002,F,57429,Binnerallee 10-89
Egbert,Kramer,20060922,2006,M,43257,Klaus-Ulrich-Bien-Ring 786
Vitus,Mangold Beng,19910417,1991,M,50481,Yasemin-Hertrampf-Straße 7-3
Hans-eberhard,Henck,19530807,1953,M,38974,Hiltraud-Kitzmann-Gasse 5-3
Liesbeth,Säuberlich,20000101,2000,F,70369,Stilla-Paffrath-Weg 21-56
Annette,Rohleder-conradi,19760329,1976,F,94603,Rudolph-Karge-Ring 48-19
Sabri,Heidrich,19500728,1950,M,54453,Wernerweg 1
Adrian,Baum,19470126,1947,M,72679,Fechnergasse 56-49
Justus,Stoll,19950827,1995,M,43541,Fredi-Adolph-Ring 34
Paula,Rosemann,19821010,1982,F,34601,Ludwina-Hentschel-Allee 92/76
Michaele,Kaul Beng,19821109,1982,F,70447,Philippe-Staude-Ring 40-80
Wolf-dietrich,Bolnbach,19781022,1978,M,95392,Rustplatz 2/5
Stilla,Pölitz,20070327,2007,F,68059,Karl-Dörr-Allee 4/5
Sönke,Anders Beng,19670309,1967,M,26170,Felicia-Hande-Allee 5-3
Hans-walter,Hering,19600331,1960,M,19311,Christophallee 2-9
Matteo,Speer,19610920,1961,M,05220,Schlosserstr. 65
Rene,Fiebig,19850308,1985,M,44205,Rita-Hamann-Gasse 2-7
Trudel,Gehringer,19890522,1989,F,87788,Reinhild-Römer-Gasse 6-4
Elisa,Geißler,19740604,1974,F,11957,Ernst-August-Heydrich-Straße 8
Sylvio,Wähner,19820218,1982,M,59662,Reichmannstraße 5456
Fridolin,Sontag-pergande,19450104,1945,M,29433,Atzlerallee 49
Norma,Meyer,19570830,1957,F,65182,Klemmplatz 161
Matthias,Bohlander,19540203,1954,M,28470,Friedo-Oestrovsky-Ring 98/67
Helmut,Geisler,19900428,1990,M,76165,Tamara-Schmiedecke-Straße 7271
Jörg,Binner,19560708,1956,M,06384,Margrafstr. 9/6
Toni,Schüler,19681229,1968,M,10375,Helen-Rogner-Platz 5
Karl-jürgen,Stahr,19990717,1999,M,11083,Aleksandr-Benthin-Straße 2-6
Polina,Etzold,19720305,1972,F,84156,Hans-Henning-Rörricht-Ring 2
Wencke,Jacob,19970804,1997,F,91810,Ullmannstr. 4722
Kevin,Nerger,19510630,1951,M,92786,Ralph-Seifert-Straße 699
Frieda,Hamann,19880409,1988,F,83277,Lisbeth-Weiß-Straße 76-78
Gislinde,Etzler,19480123,1948,F,05528,Naserstraße 3/3
Otto,Koch Ii,19940420,1994,M,88398,Rudolphallee 9-2
Patric,Jähn Beng,19630912,1963,M,87256,Lübsplatz 808
Giuseppe,Losekann,19740909,1974,M,71214,Katharina-Drubin-Platz 16
Gülsen,Lindau,19910727,1991,U,53160,Hertrampfplatz 339
Arndt,Kabus,19551214,1955,M,12456,Schinkegasse 57-46
Olaf,Tröst,19971010,1997,M,57753,Drubinweg 99/20
Evi,Mosemann,19990220,1999,F,77207,Eimerring 4-2
Albin,Steuer-junken,19740218,1974,M,87039,Beatrix-Huhn-Straße 4
Florentine,Geißler,19790919,1979,F,07414,Jo-Otto-Weg 6-4
Claus-dieter,Häring,19580725,1958,M,56161,Kaulstraße 95/50
Michelle,Niemeier,20061009,2006,F,73143,Raimund-Reinhardt-Platz 287
Zita,Mühle,20050404,2005,F,09516,Wagnerweg 3-5
Daria,Textor,19691015,1969,F,88722,Katherina-Radisch-Weg 71
Ottmar,Schaaf,19900103,1990,M,88302,Steckelallee 72-59
Marica,Rogner-zänker,19870109,1987,F,51765,Sylvio-Etzler-Platz 35
Gaetano,Jopich-hofmann,19650615,1965,M,70435,Songül-Geisel-Weg 2/5
Simona,Baum,19851021,1985,F,26742,Philippe-Schacht-Platz 5761
Irena,Mohaupt,19600614,1960,F,75839,Amalie-Otto-Allee 0
Reiner,Seidel,19760111,1976,M,34665,Ekkehart-Schenk-Gasse 20-12
Jacqueline,Binner-barth,19640825,1964,F,63385,Weinholdring 1-4
Salvatore,Wulff-bolzmann,19450212,1945,M,00453,Buchholzring 68-30
Ludwina,Rudolph,19900615,1990,F,87552,Köhlerstraße 15/18
Adelgunde,Schuster-löwer,19920627,1992,F,43256,Türkan-Walter-Allee 4-4
Susan,Kensy,19941212,1994,F,62258,Birte-Kostolzin-Straße 6155
Hans-jörg,Siering,19660128,1966,M,61003,Schmidtplatz 54
Fernando,Kensy,19690905,1969,M,49203,Jäntschgasse 4-3
Karl-hans,Reising,20021212,2002,M,38682,Roskothplatz 7
Helene,Franke,20070831,2007,F,92291,Börnerstr. 6-9
Imre,Bärer-henk,20011227,2001,M,77933,Gutering 0
Petar,Haase-krebs,19511224,1951,M,50831,Textorallee 1/9
Liliane,Kreusel,19450721,1945,F,55949,Sven-Stumpf-Platz 3-3
Christiana,Hahn Beng,20050320,2005,F,62293,Kriemhild-Müller-Weg 8
Hedwig,Bender,19480208,1948,F,40352,Keudelallee 21-32
Hedi,Schönland,19680910,1968,F,63145,Walther-Weinhage-Gasse 7/6
Toni,Karge,19540313,1954,M,98745,Heckerstr. 2971
Hans-jörg,Graf Beng,19500103,1950,M,66170,Metzring 3/3
Otfried,Dörr,19660223,1966,M,74523,Vesna-Huhn-Platz 69/27
Linus,Mies,19630316,1963,M,23374,Segebahnplatz 56-55
Patricia,Kühnert,19720326,1972,F,70612,Gaetano-Schulz-Straße 4
Dolores,Koch Ii,19930504,1993,F,59175,Tlustekplatz 43-73
Klara,Bender,20020226,2002,F,62036,Ladeckring 79/96
Bogdan,Pärtzelt,19540529,1954,M,43412,Weißweg 87/33
Heino,Fischer,19970205,1997,M,96052,Nadeshda-Knappe-Weg 7/7
Monja,Langern,19460520,1946,F,20357,Hanne-Lore-Otto-Allee 72
Suse,Hermighausen,19961213,1996,F,75958,Wagnerstr. 8679
Lisbeth,Hauffer,19840609,1984,F,05753,Etta-Sontag-Gasse 7310
Selma,Reichmann,19950420,1995,F,73247,Udo-Ackermann-Straße 1/2
Gerlind,Reuter,19640712,1964,F,35843,Kramergasse 30-58
Nelli,Textor,19560519,1956,F,99527,Schulzstraße 18/57
Alexej,Schmiedt-stiebitz,19691016,1969,M,71245,Schuchhardtring 49
Hans-ulrich,Junk-neureuther,19760812,1976,M,82050,Alois-Schaaf-Weg 717
Jens,Reinhardt,19940728,1994,M,05109,Margarita-Rose-Weg 2-5
Klaus,Peter Hiller,19620328,1962,M,81545,Georgine-Hering-Straße 24
