first_name,last_name,dob,year_of_birth,gender,zip,email,phone,address
Adrian,Pruschke,19490218,1949,M,90576,xjunk@googlemail.com,05745888234,Pechelstr. 7
Harro,Kramer,19730715,1973,M,44252,frust@hotmail.de,(05577) 13843,Gröttnerweg 98-32
Anneke,Finke-gumprich,19540513,1954,F,74895,dzahn@web.de,+49(0) 787957677,Gumprichstraße 61/91
Natalja,Steinberg,19810608,1981,F,34404,loefflerellen@aol.de,+49(0)3408561050,Austermühleallee 3
Damian,Säuberlich,20050505,2005,M,81682,aline10@web.de,+49(0)4810311138,Ortmannweg 3/4
Ildiko,Tröst,20070219,2007,F,30694,evelynullmann@aol.de,+49(0) 601946458,Scholtzgasse 94-28
Niko,Briemer,19951125,1995,M,45279,ltrapp@yahoo.de,07230 59893,Adelinde-Bloch-Weg 69-65
Gerda,Jungfer,19780121,1978,F,46943,rustfriedemann@gmail.com,+49(0)7890 00788,Hessegasse 558
Harald,Baum,20001114,2000,M,18605,joerg40@gmx.de,0927626895,Sibilla-Döring-Platz 37/17
Liliane,Schmidtke,19631122,1963,F,42490,tlustekbirgid@hotmail.de,05674 431991,Sieringweg 334
Isabella,Steinberg,19540423,1954,F,32926,myriamkensy@web.de,08456725012,Krausweg 4
Flora,Johann-aumann,20070924,2007,F,14200,maria-theresiaboucsein@googlemail.com,(04360) 686509,Liane-Speer-Straße 9
Karina,Hänel,20010514,2001,F,52662,lorchalexandros@gmx.de,(08814) 83030,Tadeusz-Hornich-Gasse 2/2
Abraham,Hornig,19540606,1954,M,41817,adolphdiether@hotmail.de,(02499) 27985,Bolzmanngasse 8
Eberhardt,Stadelmann-stadelmann,20040112,2004,M,01480,waltherwulff@gmail.com,03862 649004,Andrei-Buchholz-Ring 146
Isolde,Klotz,19820810,1982,F,93449,pietrolehmann@gmail.com,0668080253,Schmidtgasse 4-8
Helmtrud,Lorch,19500630,1950,F,69465,ariane20@web.de,03014 34632,Stefan-Reinhardt-Platz 9
Silva,Juncken,19611204,1961,F,11725,cscholz@gmx.de,+49(0)1082 06050,Sina-van der Dussen-Weg 794
Henri,Hartmann-löffler,19530928,1953,M,39798,siglinde34@web.de,+49(0)9649 794934,Putzring 304
Krystyna,Bähr,19560717,1956,F,44120,oboucsein@gmx.de,05154728774,Theo-Kaul-Platz 55
Meral,Barth,19750327,1975,F,37288,friedl33@googlemail.com,03025 388340,Löchelring 11
Käthe,Mälzer,19570721,1957,F,32705,yvogt@googlemail.com,09615556947,Bachmannstr. 76-96
Priska,Schweitzer,19950216,1995,F,74861,mariobolzmann@web.de,07194877282,Thanelstr. 8832
Wolfram,Hecker,19900130,1990,M,57138,soedingsteven@web.de,(03529) 768096,Marta-Dietz-Weg 44
Uschi,Rogge,20030626,2003,F,62227,nadianerger@gmail.com,(05060) 15249,Beerplatz 401
Gunther,Briemer,20041013,2004,M,67506,kreuselhinrich@gmx.de,01319195484,Ladeckring 5/2
Aenne,Rust Beng,19911211,1991,F,66401,gscholl@web.de,(09054) 625506,Hellwigstraße 19
Anette,Grein Groth,19840315,1984,F,75843,pscholz@gmx.de,(00808) 37707,Mijo-Wirth-Ring 6-6
Benita,Renner,20061020,2006,F,75567,doehnmargarete@gmail.com,+49(0)1282251681,Roy-Karge-Weg 41-53
Ingeburg,Neuschäfer-jäkel,19491205,1949,F,39292,filizschmidt@aol.de,09110012518,Schmiedtplatz 748
Mona,Walter,19760920,1976,F,94519,baldur88@aol.de,+49 (0) 0324 846700,Horst-Weihmann-Gasse 1-1
Gusti,Löffler,19860220,1986,F,92366,irinaweinhold@yahoo.de,+49(0) 021536622,Markus-Tintzmann-Gasse 589
Marianna,Heidrich,19610611,1961,F,55692,margritweihmann@yahoo.de,+49(0)0555512698,Sontagstr. 4199
Renata,Mentzel,19480301,1948,F,61640,gertraut90@gmail.com,+49(0)0045 50477,Beyerweg 25-46
Harm,Höfig,19450903,1945,M,04834,striebitzcecilia@hotmail.de,+49 (0) 3150 638463,Bergerring 7
Ernst-august,Mies,19620803,1962,M,29097,muelichensusi@yahoo.de,(04792) 285648,Kristiane-Siering-Allee 3
