first_name,last_name,dob,year_of_birth,gender,zip,address
Adrian,Pruschke,19490224,1949,M,90576,Pechelstr. 7
Harro,Kramer,19730721,1973,M,44252,Gröttnerweg 98-32
Anneke,Finke-gumprich,19540519,1954,F,74895,Gumprichstraße 61/91
Natalja,Steinberg,19810614,1981,F,34404,Austermühleallee 3
Damian,Säuberlich,20050511,2005,M,81682,Ortmannweg 3/4
Ildiko,Tröst,20070225,2007,F,30694,Scholtzgasse 94-28
Niko,Briemer,19951201,1995,M,45279,Adelinde-Bloch-Weg 69-65
Gerda,Jungfer,19780127,1978,F,46943,Hessegasse 558
Harald,Baum,20001120,2000,M,18605,Sibilla-Döring-Platz 37/17
Liliane,Schmidtke,19631128,1963,F,42490,Sieringweg 334
Isabella,Steinberg,19540429,1954,F,32926,Krausweg 4
Flora,Johann-aumann,20070930,2007,F,14200,Liane-Speer-Straße 9
Karina,Hänel,20010520,2001,F,52662,Tadeusz-Hornich-Gasse 2/2
Abraham,Hornig,19540612,1954,M,41817,Bolzmanngasse 8
Eberhardt,Stadelmann-stadelmann,20040118,2004,M,01480,Andrei-Buchholz-Ring 146
Isolde,Klotz,19820816,1982,F,93449,Schmidtgasse 4-8
Helmtrud,Lorch,19500706,1950,F,69465,Stefan-Reinhardt-Platz 9
Silva,Juncken,19611210,1961,F,11725,Sina-van der Dussen-Weg 794
Henri,Hartmann-löffler,19531004,1953,M,39798,Putzring 304
Krystyna,Bähr,19560723,1956,F,44120,Theo-Kaul-Platz 55
Meral,Barth,19750402,1975,F,37288,Löchelring 11
Käthe,Mälzer,19570727,1957,F,32705,Bachmannstr. 76-96
Priska,Schweitzer,19950222,1995,F,74861,Thanelstr. 8832
Wolfram,Hecker,19900205,1990,M,57138,Marta-Dietz-Weg 44
Uschi,Rogge,20030702,2003,F,62227,Beerplatz 401
Gunther,Briemer,20041019,2004,M,67506,Ladeckring 5/2
Aenne,Rust Beng,19911217,1991,F,66401,Hellwigstraße 19
Anette,Grein Groth,19840321,1984,F,75843,Mijo-Wirth-Ring 6-6
Benita,Renner,20061026,2006,F,75567,Roy-Karge-Weg 41-53
Ingeburg,Neuschäfer-jäkel,19491211,1949,F,39292,Schmiedtplatz 748
Mona,Walter,19760926,1976,F,94519,Horst-Weihmann-Gasse 1-1
Gusti,Löffler,19860226,1986,F,92366,Markus-Tintzmann-Gasse 589
Marianna,Heidrich,19610617,1961,F,55692,Sontagstr. 4199
Renata,Mentzel,19480307,1948,F,61640,Beyerweg 25-46
Harm,Höfig,19450909,1945,M,04834,Bergerring 7
Ernst-august,Mies,19620809,1962,M,29097,Kristiane-Siering-Allee 3
Natascha,Kaul,19760519,1976,F,45141,Stiffelweg 38/94
Athanasios,Berger,19810612,1981,M,19236,Trübplatz 6-6
Lucie,Lindner,19540401,1954,F,23875,Junckstr. 16/40
Ivo,Ullrich,19940311,1994,M,79051,Jäntschstr. 33/28
Gabi,Flantz,19861205,1986,F,87202,Francis-Wilmsen-Ring 82/77
Utz,Jüttner,19650204,1965,M,62611,Sofie-Neuschäfer-Weg 528
Magdalena,Hesse,19770701,1977,F,53612,Wibke-Tlustek-Straße 73-16
Rosl,Süßebier-sager,19690906,1969,F,15248,Kai-Uwe-Franke-Ring 3
Wolf-dietrich,Schulz,19450815,1945,M,27384,Jozef-Segebahn-Straße 3
Aldo,Radisch,19811111,1981,M,64719,Rudolphallee 9-7
Birgitta,Beer,20060905,2006,F,72797,Erwin-Gute-Ring 2
Wiltrud,Stolze,19910916,1991,F,22315,Steuerring 88-45
Willy,Heidrich,19880603,1988,M,31655,Atzlergasse 22/99
Jeanette,Klingelhöfer,19490317,1949,F,26321,Andrew-Löwer-Allee 72-81
Ansgar,Ernst,19600727,1960,M,57201,Nada-Köster-Straße 28/16
Hans-werner,Scheuermann,20050710,2005,M,93684,Eitel-Schenk-Weg 3213
Edith,Wesack,19621229,1962,F,65634,Werneckegasse 306
Else,Meister,19451226,1945,F,86642,Walburga-Krebs-Ring 2/4
Anka,Zimmer,19730819,1973,F,45649,Hella-Weller-Gasse 856
Aloisia,Heinrich,19741002,1974,F,93454,Schäferplatz 949
Mijo,Ziegert,19590314,1959,M,10937,Steuerallee 56-21
