first_name,last_name,dob,year_of_birth,gender,zip,email,phone,address
Adriana,Conradi,19791018,1979,F,48147,mbohnbach@web.de,04337808105,Sontagstraße 801
Arnfried,Roht,19780628,1978,M,97707,roserecep@yahoo.de,(02787) 441266,Marit-Neureuther-Straße 4/6
Nikola,Thies,19910816,1991,M,31637,lbolzmann@gmx.de,03538 62934,Reinhardtplatz 68-37
Andreas,Scholz,19730619,1973,M,92814,iholt@web.de,+49(0)6694 81643,Birnbaumring 33-77
Abdullah,Briemer-naser,19511021,1951,M,57129,van-der-dussenvolkmar@web.de,05449594938,Antoinette-Täsche-Weg 6585
August,Werner,19790126,1979,M,09593,john79@gmail.com,+49 (0) 7728 991283,Junkenplatz 20-65
Thorsten,Beyer,19970704,1997,M,99828,clemensschwital@aol.de,+49 (0) 4097 595466,Kaspar-Anders-Ring 2/9
Songül,Harloff,19840915,1984,F,78759,fradisch@yahoo.de,+49(0)8692 177188,Henckweg 75
Nurettin,Preiß-klapp,19891011,1989,M,91004,henrike34@aol.de,0554969266,Schenkstr. 6/4
Siegmar,Gude,19460524,1946,M,11136,ernestine83@googlemail.com,06348 588714,Friedhold-Finke-Straße 3-9
Vincenzo,Jacobi Jäckel,19800418,1980,M,35960,friedrich-wilhelm63@gmail.com,05338 00573,Löchelstraße 6-9
Pius,Schaaf,20061104,2006,M,23186,nadingertz@hotmail.de,+49(0)2480580480,Nergergasse 3/4
Annaliese,Hornig,19881004,1988,F,94119,bbaehr@gmail.com,0958906782,Bozena-Plath-Ring 2816
Juliana,Eberth,19470728,1947,F,89649,jthies@gmail.com,(00958) 531831,Cetin-Caspar-Gasse 9/6
Ljudmila,Wohlgemut,19860708,1986,F,91865,antoschoenland@gmx.de,+49(0)6538299362,Sölzerplatz 9-8
Gerhard,Roskoth Beng,19901215,1990,M,58664,ystiebitz@web.de,08099 543516,Loosring 7-5
Olaf,Schlosser-geisler,19931007,1993,M,26744,schomberjulie@yahoo.de,01287 700436,Schönlandstr. 33
Hans-gerhard,Hornich-girschner,19660201,1966,M,49645,butteliane@gmail.com,03150 346858,Hertrampfallee 125
Rudi,Karz,19881022,1988,M,91855,obaum@gmail.com,00000 983916,Jens-Huhn-Allee 51
Stefano,Karz,19851022,1985,M,62173,sauerortrun@aol.de,(00314) 039668,Friedericke-Fechner-Allee 25
Antonia,Drub,20030425,2003,F,75751,heidi94@googlemail.com,+49 (0) 2146 478994,Britt-Sager-Weg 7
Josip,Wulf,19760622,1976,M,60314,renata87@aol.de,+49 (0) 4869 247181,Meyergasse 89-81
Mustafa,Holzapfel Beng,20060720,2006,M,09643,carstensiegrun@yahoo.de,0233231044,Burkhard-Roskoth-Weg 7/6
Edit,Geisler,20011120,2001,F,42292,rigo66@gmail.com,0487463661,Jäntschweg 0
Nicolaus,Barkholz,19950107,1995,M,58803,edoerschner@gmail.com,03902 55203,Gerlind-Täsche-Platz 64
Hans-adolf,Bolzmann Beng,19660113,1966,M,18597,dschacht@googlemail.com,+49(0)4867 983183,Schinkeallee 5/2
Sahin,Langern-köhler,19840415,1984,U,73700,mia50@gmx.de,01951 345863,Weißstr. 6/9
Sophie,Matthäi Beng,20041113,2004,F,15598,nathaliethies@aol.de,00149 78576,Fernando-Langern-Straße 5-6
Heini,Gorlitz,19861223,1986,F,96369,heinz-peter16@hotmail.de,04077 920617,Gertraut-Hertrampf-Platz 4-7
Zita,Reuter,19600226,1960,F,00675,eckhardbecker@aol.de,(05272) 74585,Eberhardtstraße 1/4
Ina,Hettner,19841004,1984,F,47438,margarethe80@web.de,(06807) 588812,Etzoldgasse 91
Jessica,Weitzel,19620914,1962,F,56048,nikolaussteinberg@hotmail.de,01808 26346,Timo-Scholtz-Platz 21-56
Berta,Steuer,19590604,1959,F,95119,hans-georg24@gmx.de,+49(0)7564 60544,Krista-Benthin-Allee 9
Alberto,Hethur,19740425,1974,M,86770,ekkehartsoeding@yahoo.de,+49(0)1158 494718,Nurten-Hesse-Platz 68/20
Albin,Mitschke,19490721,1949,M,31707,baehrurs@web.de,(07653) 92359,Ladislaus-Trub-Ring 56-58
Annelore,Flantz Beng,20030726,2003,F,01360,winklerswantje@yahoo.de,(05526) 891415,Chantal-Jockel-Ring 633
Ulrich,Köster,19820913,1982,M,60378,petros18@yahoo.de,+49(0)0396361101,Hans-J.-Rädel-Straße 3-3
Hans-erich,Heinz,19600909,1960,M,59016,hedi49@hotmail.de,(04649) 14728,Annamaria-Zorbach-Ring 65/34
Reinhard,Hübel,19810921,1981,M,68123,vittorio16@yahoo.de,0205076427,Ljubica-Fechner-Weg 73/38
Janin,Tintzmann,19910806,1991,F,07899,silviakaester@hotmail.de,05046049482,Alexei-Dippel-Weg 44
Franz-peter,Römer,19990216,1999,M,41000,irose@gmail.com,(02641) 444308,Daniele-Stahr-Gasse 16-60
Charlotte,Scheibe,19790330,1979,F,54174,ysteuer@aol.de,01636 24587,Saskia-Dussen van-Straße 55/78
Heide,Van Der Dussen,19780328,1978,F,48426,belasteckel@gmail.com,08479786268,Ahmet-Wiek-Straße 5
Boris,Zorbach,19800201,1980,M,30697,gert02@gmail.com,09870 102528,Tatiana-Oderwald-Ring 3-2
Kilian,Schönland,19560206,1956,M,95790,gabi88@aol.de,09539 87959,Mülichenallee 363
Laurenz,Jopich,19710823,1971,M,89974,eroskoth@aol.de,07070195116,Jüttnerallee 96/98
Irmi,Trapp,19791126,1979,F,64194,jacobi-jaeckelgerolf@hotmail.de,08853 79860,Engin-Scholz-Allee 229
Reginald,Kramer Beng,19580913,1958,M,85005,eetzold@gmail.com,(07499) 485773,Hermann Josef-Mude-Platz 506
Frederik,Conradi Beng,20001022,2000,M,58128,gusti94@web.de,+49(0)0794517142,Sebastiano-Dörschner-Gasse 141
Henning,Ernst Beng,19550107,1955,M,87439,anneliesestiffel@gmx.de,01059 86909,Södingstr. 34
Rolf-peter,Martin-zahn,19650326,1965,M,95308,diethardklemm@gmx.de,09267 437697,Lindnergasse 1/3
Hassan,Junk,19870809,1987,M,27830,wulfroy@gmail.com,(03577) 84360,Raik-Karz-Platz 79/75
Marieluise,Eigenwillig,20060321,2006,F,15976,reinhardtfriedrich@gmx.de,+49(0)3807 256648,Bruni-Schomber-Allee 75/73
Ignaz,Nette-anders,19520106,1952,M,28858,kay-uwe91@yahoo.de,+49(0) 973296758,Ferenc-Staude-Gasse 6788
Ekkehart,Tintzmann,19770324,1977,M,71146,xklingelhoefer@yahoo.de,+49 (0) 4293 022286,Schweitzerstraße 198
Nelly,Weiß,19500324,1950,F,19800,nataljareinhardt@yahoo.de,0686462649,Müllerweg 1-5
Hiltrud,Gertz-margraf,19970222,1997,F,69053,hartungdanica@web.de,(08580) 716472,Bärerweg 6-6
Boris,Freudenberger-klapp,20000808,2000,M,38272,ahoefig@hotmail.de,(04408) 903982,Stiebitzallee 170
Walburga,Knappe,19570929,1957,F,35412,mbecker@aol.de,00723 244055,Sibylla-Gröttner-Allee 955
Sieglinde,Dobes,19520127,1952,F,15794,walfried26@aol.de,+49 (0) 9223 640898,Gunpfplatz 95-82
Horst-günter,Freudenberger,19910315,1991,M,91584,nikolaoszorbach@googlemail.com,+49 (0) 0610 977684,Langernring 18-63
Cetin,Barth,19950530,1995,U,07820,scheuermannnicolas@hotmail.de,+49(0)5357 802342,Anni-auch Schlauchin-Ring 27-42
Galina,Käster,19760308,1976,F,58907,hofmannelsbeth@hotmail.de,+49(0) 572831502,Buttestr. 5-2
Aribert,Heidrich Beng,19540701,1954,M,02513,prohleder@gmx.de,+49(0)2264502927,Alfonso-Wirth-Platz 477
Tania,Geißler,19920627,1992,F,52119,ibrahimpatberg@googlemail.com,+49(0)3527 962096,Andrej-Beckmann-Platz 26
Benedikt,Ackermann,19811023,1981,M,51888,erich79@yahoo.de,+49 (0) 2252 553626,Friedrich-Kohl-Platz 1
Stefani,Förster,19570531,1957,F,44659,oheinrich@yahoo.de,+49(0)5291670635,Hermannallee 93/11
Vassilios,Mosemann,19861103,1986,M,52518,lisbethwilms@gmx.de,+49(0)4387795647,Ruth-Kranz-Ring 54-83
Annerose,Ritter,19981225,1998,F,43529,deborahriehl@gmx.de,+49(0) 832346108,Yilmaz-Boucsein-Platz 68-61
Almut,Dobes,19660617,1966,F,98101,dimitribriemer@gmail.com,(03730) 03214,Eveline-Trub-Platz 25/48
Annerose,Weitzel-hiller,19910722,1991,F,90741,charlotteboerner@gmx.de,06026067690,Eugenia-Ortmann-Allee 38/76
Rosemarie,Wiek,19920208,1992,F,45332,patbergann-kathrin@gmx.de,(00107) 418671,Lindnerallee 27
Saskia,Hein Beng,19831123,1983,F,91809,roestrovsky@web.de,(09734) 25313,Schleichplatz 6
Magarete,Rogge,19940725,1994,F,90737,marijanwarmer@yahoo.de,03481 38056,Paffrathstr. 8253
Victor,Hamann,20070315,2007,M,41071,rognerkorbinian@hotmail.de,05106303635,Stumpfweg 18-15
Solveig,Auch Schlauchin,19600219,1960,F,30970,hannaboerner@googlemail.com,09710 664489,Jane-Schlosser-Weg 71
Vitus,Hörle,19910423,1991,M,09410,gerlindcichorius@aol.de,09424 476696,Budigallee 18/25
Manja,Mühle-wulff,19610405,1961,F,92327,erdogan78@gmail.com,+49(0)1391 883008,Magdalena-Wernecke-Weg 81
Kirstin,Lübs,19790122,1979,F,45422,franz-josef13@yahoo.de,+49(0) 719897882,Stadelmannstraße 311
Dora,Weinhold,19850308,1985,F,10999,jschlosser@yahoo.de,+49(0)7381366710,Wulfplatz 66
Yasemin,Metz,19801204,1980,F,97694,dobesgeorg@yahoo.de,+49(0)6664 51163,Trappgasse 5761
Fridolin,Gertz,19700602,1970,M,31255,johaneigenwillig@gmail.com,+49 (0) 8191 199547,Kösterweg 20-86
Eckehard,Wohlgemut,19790610,1979,M,58693,randolf78@aol.de,01411 79789,Wielochgasse 8633
